"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"1","Wii Sports    ","Wii","Nintendo  ","41.36m","82.65m","19th Nov 06  ","29.02m","3.77m","8.51m"
"2","Super Mario Bros.    ","NES","Nintendo  ","29.08m","40.24m","18th Oct 85  ","3.58m","6.81m","0.77m"
"3","Duck Hunt    ","NES","Nintendo  ","26.93m","28.31m","15th Oct 85  ","0.63m","0.28m","0.47m"
"4","Tetris    ","GB","Nintendo  ","23.20m","30.26m","31st Jul 89  ","2.26m","4.22m","0.58m"
"5","Mario Kart Wii    ","Wii","Nintendo  ","15.91m","35.98m","27th Apr 08  ","12.92m","3.80m","3.35m"
"6","Wii Sports Resort    ","Wii","Nintendo  ","15.61m","32.90m","26th Jul 09  ","10.99m","3.29m","3.02m"
"7","Kinect Adventures!    ","X360","Microsoft Game Studios  ","15.09m","22.10m","04th Nov 10  ","4.97m","0.24m","1.81m"
"8","New Super Mario Bros. Wii    ","Wii","Nintendo  ","14.53m","28.51m","15th Nov 09  ","7.01m","4.70m","2.27m"
"9","Wii Play    ","Wii","Nintendo  ","13.96m","28.92m","12th Feb 07  ","9.18m","2.93m","2.85m"
"10","Super Mario World    ","SNES","Nintendo  ","12.78m","20.61m","13th Aug 91  ","3.75m","3.54m","0.55m"
"11","New Super Mario Bros.    ","DS","Nintendo  ","11.28m","29.85m","15th May 06  ","9.19m","6.50m","2.89m"
"12","Pokémon Red / Green / Blue Version    ","GB","Nintendo  ","11.27m","31.37m","30th Sep 98  ","8.89m","10.22m","1.00m"
"13","Super Mario Land    ","GB","Nintendo  ","10.83m","18.14m","01st Aug 89  ","2.71m","4.18m","0.42m"
"14","Call of Duty: Black Ops    ","X360","Activision  ","9.76m","14.74m","09th Nov 10  ","3.73m","0.11m","1.14m"
"15","Mario Kart DS    ","DS","Nintendo  ","9.71m","23.26m","14th Nov 05  ","7.51m","4.13m","1.91m"
"16","Super Mario Bros. 3    ","NES","Nintendo  ","9.54m","17.28m","12th Feb 90  ","3.44m","3.84m","0.46m"
"17","Grand Theft Auto: San Andreas    ","PS2","Rockstar Games  ","9.43m","20.81m","26th Oct 04  ","0.40m","0.41m","10.57m"
"18","Call of Duty: Modern Warfare 3    ","X360","Activision  ","9.07m","14.82m","08th Nov 11  ","4.29m","0.13m","1.33m"
"19","Grand Theft Auto V    ","X360","Rockstar Games  ","9.06m","15.86m","17th Sep 13  ","5.33m","0.06m","1.42m"
"20","Nintendogs    ","DS","Nintendo  ","9.05m","24.68m","23rd Aug 05  ","10.96m","1.93m","2.74m"
"21","Wii Fit Plus    ","Wii","Nintendo  ","9.01m","21.81m","04th Oct 09  ","8.51m","2.53m","1.76m"
"22","Pokémon Gold / Silver Version    ","GB","Nintendo  ","9.00m","23.10m","14th Oct 00  ","6.18m","7.20m","0.71m"
"23","Wii Fit    ","Wii","Nintendo  ","8.92m","22.70m","21st May 08  ","8.03m","3.60m","2.15m"
"24","Call of Duty: Modern Warfare 2    ","X360","Activision  ","8.54m","13.53m","10th Nov 09  ","3.63m","0.08m","1.28m"
"25","Grand Theft Auto: Vice City    ","PS2","Rockstar Games  ","8.41m","16.15m","28th Oct 02  ","5.49m","0.47m","1.78m"
"26","Call of Duty: Black Ops II    ","X360","Activision  ","8.27m","13.86m","13th Nov 12  ","4.32m","0.07m","1.20m"
"27","Halo 3    ","X360","Microsoft Game Studios  ","7.97m","12.13m","25th Sep 07  ","2.81m","0.13m","1.21m"
"28","Pac-Man    ","2600","Atari  ","7.28m","7.81m","01st Mar 82  ","0.45m","N/A","0.08m"
"29","Halo: Reach    ","X360","Microsoft Game Studios  ","7.08m","9.97m","14th Sep 10  ","2.01m","0.08m","0.80m"
"30","Grand Theft Auto III    ","PS2","Rockstar Games  ","6.99m","13.10m","23rd Oct 01  ","4.51m","0.30m","1.30m"
"31","Super Mario 64    ","N64","Nintendo  ","6.91m","11.89m","29th Sep 96  ","2.85m","1.91m","0.23m"
"32","Gran Turismo 3: A-Spec    ","PS2","Sony Computer Entertainment  ","6.85m","14.98m","09th Jul 01  ","5.09m","1.87m","1.16m"
"33","Halo 2    ","XB","Microsoft Game Studios  ","6.82m","8.49m","09th Nov 04  ","1.53m","0.05m","0.08m"
"34","Grand Theft Auto IV    ","X360","Rockstar Games  ","6.80m","11.09m","29th Apr 08  ","3.11m","0.14m","1.04m"
"35","Call of Duty: Ghosts    ","X360","Activision  ","6.76m","10.41m","05th Nov 13  ","2.64m","0.04m","0.98m"
"36","Halo 4    ","X360","Microsoft Studios  ","6.72m","9.96m","06th Nov 12  ","2.36m","0.04m","0.83m"
"37","Super Smash Bros. Brawl    ","Wii","Nintendo  ","6.64m","12.91m","09th Mar 08  ","2.57m","2.67m","1.03m"
"38","Pokémon Diamond / Pearl Version    ","DS","Nintendo  ","6.38m","18.25m","28th Apr 07  ","4.47m","6.04m","1.36m"
"39","Grand Theft Auto V    ","PS3","Rockstar Games  ","6.37m","20.32m","17th Sep 13  ","9.85m","0.99m","3.12m"
"40","Call of Duty: Black Ops 3    ","PS4","Activision  ","6.18m","15.09m","06th Nov 15  ","6.05m","0.41m","2.44m"
"41","Super Mario Land 2: 6 Golden Coins    ","GB","Nintendo  ","6.16m","11.18m","02nd Nov 92  ","2.04m","2.69m","0.29m"
"42","Pokémon Ruby / Sapphire Version    ","GBA","Nintendo  ","6.06m","15.85m","17th Mar 03  ","3.90m","5.38m","0.50m"
"43","Super Mario Galaxy    ","Wii","Nintendo  ","6.06m","11.40m","12th Nov 07  ","3.38m","1.20m","0.76m"
"44","Grand Theft Auto V    ","PS4","Rockstar Games  ","6.06m","19.39m","18th Nov 14  ","9.71m","0.60m","3.02m"
"45","Mario Kart 7    ","3DS","Nintendo  ","6.03m","15.49m","04th Dec 11  ","5.35m","3.00m","1.11m"
"46","Pokémon Sun/Moon    ","3DS","Nintendo  ","6.02m","15.17m","18th Nov 16  ","4.34m","3.82m","0.99m"
"47","Call of Duty: Black Ops    ","PS3","Activision  ","6.01m","12.67m","09th Nov 10  ","4.40m","0.48m","1.78m"
"48","Super Mario All-Stars    ","SNES","Nintendo  ","5.99m","10.55m","01st Aug 93  ","2.15m","2.12m","0.29m"
"49","Call of Duty 4: Modern Warfare    ","X360","Activision  ","5.98m","9.41m","05th Nov 07  ","2.39m","0.13m","0.91m"
"50","Minecraft    ","X360","Microsoft Studios  ","5.96m","9.82m","04th Jun 13  ","2.94m","0.02m","0.90m"
"51","Just Dance 3    ","Wii","Ubisoft  ","5.95m","10.14m","07th Oct 11  ","3.13m","N/A","1.06m"
"52","Pokémon Yellow: Special Pikachu Edition    ","GB","Nintendo  ","5.89m","14.64m","19th Oct 99  ","5.04m","3.12m","0.59m"
"53","Just Dance 2    ","Wii","Ubisoft  ","5.80m","9.45m","12th Oct 10  ","2.86m","0.01m","0.77m"
"54","GoldenEye 007    ","N64","Nintendo  ","5.80m","8.09m","25th Aug 97  ","2.01m","0.13m","0.15m"
"55","Pokémon X/Y    ","3DS","Nintendo  ","5.68m","16.13m","12th Oct 13  ","5.06m","4.40m","0.99m"
"56","Mario Kart 64    ","N64","Nintendo  ","5.55m","9.87m","10th Feb 97  ","1.94m","2.23m","0.15m"
"57","Call of Duty: Modern Warfare 3    ","PS3","Activision  ","5.54m","13.35m","08th Nov 11  ","5.78m","0.49m","1.54m"
"58","Pokémon Black / White Version    ","DS","Nintendo  ","5.51m","15.18m","06th Mar 11  ","3.20m","5.66m","0.80m"
"59","Super Mario Bros. 2    ","NES","Nintendo  ","5.39m","7.46m","01st Oct 88  ","1.18m","0.70m","0.19m"
"60","Red Dead Redemption 2    ","PS4","Rockstar Games  ","5.26m","13.94m","26th Oct 18  ","6.21m","0.21m","2.26m"
"61","The Elder Scrolls V: Skyrim    ","X360","Bethesda Softworks  ","5.10m","8.88m","11th Nov 11  ","2.83m","0.10m","0.85m"
"62","Super Mario 3D Land    ","3DS","Nintendo  ","5.10m","11.56m","13th Nov 11  ","3.46m","2.15m","0.85m"
"63","Super Mario Odyssey    ","NS","Nintendo  ","5.10m","11.71m","27th Oct 17  ","3.75m","2.02m","0.84m"
"64","Mario Kart 8 Deluxe    ","NS","Nintendo  ","5.05m","13.05m","28th Apr 17  ","4.98m","2.11m","0.91m"
"65","Super Mario 64 DS    ","DS","Nintendo  ","5.01m","10.32m","20th Nov 04  ","3.08m","1.25m","0.97m"
"66","Call of Duty: Black Ops II    ","PS3","Activision  ","4.99m","13.80m","13th Nov 12  ","5.88m","0.65m","2.28m"
"67","Call of Duty: Modern Warfare 2    ","PS3","Activision  ","4.99m","10.61m","10th Nov 09  ","3.66m","0.38m","1.59m"
"68","Halo: Combat Evolved    ","XB","Microsoft  ","4.98m","6.43m","14th Nov 01  ","1.30m","0.08m","0.07m"
"69","Call of Duty: World at War    ","X360","Activision  ","4.88m","7.50m","10th Nov 08  ","1.91m","N/A","0.71m"
"70","Grand Theft Auto IV    ","PS3","Rockstar Games  ","4.79m","10.57m","29th Apr 08  ","3.73m","0.44m","1.62m"
"71","Pokémon Omega Ruby/Pokémon Alpha Sapphire    ","3DS","Nintendo  ","4.78m","12.73m","21st Nov 14  ","3.98m","3.15m","0.82m"
"72","Brain Age: Train Your Brain in Minutes a Day    ","DS","Nintendo  ","4.74m","20.16m","17th Apr 06  ","9.21m","4.16m","2.04m"
"73","Grand Theft Auto V    ","XOne","Rockstar Games  ","4.70m","8.72m","18th Nov 14  ","3.25m","0.01m","0.76m"
