"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"74","Call of Duty: WWII    ","PS4","Activision  ","4.67m","13.40m","03rd Nov 17  ","6.21m","0.40m","2.12m"
"75","Call of Duty: Black Ops 3    ","XOne","Activision  ","4.63m","7.37m","06th Nov 15  ","2.04m","0.02m","0.68m"
"76","The Legend of Zelda: Breath of the Wild    ","NS","Nintendo  ","4.54m","9.46m","03rd Mar 17  ","2.94m","1.26m","0.73m"
"77","Uncharted 4: A Thief's End    ","PS4","Sony Interactive Entertainment  ","4.49m","10.33m","10th May 16  ","3.93m","0.21m","1.70m"
"78","Sonic the Hedgehog 2    ","GEN","Sega  ","4.47m","6.03m","20th Nov 92  ","1.20m","0.16m","0.19m"
"79","Battlefield 3    ","X360","Electronic Arts  ","4.47m","7.35m","25th Oct 11  ","2.12m","0.06m","0.69m"
"80","Super Smash Bros. Melee    ","GC","Nintendo  ","4.41m","7.07m","02nd Dec 01  ","1.04m","1.39m","0.22m"
"81","Mario Party DS    ","DS","Nintendo  ","4.40m","8.93m","19th Nov 07  ","1.86m","1.98m","0.69m"
"82","Donkey Kong Country    ","SNES","Nintendo  ","4.36m","9.30m","21st Nov 94  ","1.71m","3.00m","0.23m"
"83","Pokémon Heart Gold / Soul Silver Version    ","DS","Nintendo  ","4.34m","11.78m","14th Mar 10  ","2.72m","3.96m","0.76m"
"84","Halo 3: ODST    ","X360","Microsoft Game Studios  ","4.34m","6.35m","22nd Sep 09  ","1.34m","0.06m","0.61m"
"85","Pokémon FireRed / LeafGreen Version    ","GBA","Nintendo  ","4.34m","10.49m","07th Sep 04  ","2.65m","3.15m","0.35m"
"86","Madden NFL 2004    ","PS2","EA Sports  ","4.26m","5.23m","12th Aug 03  ","0.26m","0.01m","0.71m"
"87","Super Smash Bros. Ultimate    ","NS","Nintendo  ","4.22m","8.95m","07th Dec 18  ","1.72m","2.41m","0.61m"
"88","Pitfall!    ","2600","Activision  ","4.21m","4.50m","20th Apr 82  ","0.24m","N/A","0.05m"
"89","Madden NFL 2005    ","PS2","EA Sports  ","4.18m","4.53m","09th Aug 04  ","0.26m","0.01m","0.08m"
"90","Gears of War 2    ","X360","Microsoft Game Studios  ","4.15m","6.75m","07th Nov 08  ","1.91m","0.06m","0.64m"
"91","Mario Kart: Double Dash!!    ","GC","Nintendo  ","4.12m","6.95m","17th Nov 03  ","1.77m","0.87m","0.19m"
"92","Call of Duty: Ghosts    ","PS3","Activision  ","4.11m","10.13m","05th Nov 13  ","4.01m","0.39m","1.62m"
"93","The Legend of Zelda: Ocarina of Time    ","N64","Nintendo  ","4.10m","7.60m","23rd Nov 98  ","1.89m","1.45m","0.16m"
"94","Just Dance 4    ","Wii","Ubisoft  ","4.05m","6.89m","09th Oct 12  ","2.21m","N/A","0.62m"
"95","Gears of War 3    ","X360","Microsoft Studios  ","4.05m","6.22m","20th Sep 11  ","1.59m","0.07m","0.50m"
"96","Call of Duty: Black Ops IIII    ","PS4","Activision  ","4.05m","9.32m","12th Oct 18  ","3.28m","0.50m","1.49m"
"97","Half-Life    ","PC","Sierra Entertainment  ","4.03m","4.12m","19th Nov 98  ","0.00m","0.09m","N/A"
"98","Gran Turismo    ","PS","Sony Computer Entertainment  ","4.02m","10.95m","30th Apr 98  ","3.87m","2.54m","0.52m"
"99","Super Mario Sunshine    ","GC","Nintendo  ","4.01m","6.31m","25th Aug 02  ","1.26m","0.87m","0.17m"
"100","Asteroids    ","2600","Atari  ","4.00m","4.31m","01st Jan 81  ","0.26m","N/A","0.05m"
"101","Madden NFL 06    ","PS2","EA Sports  ","3.98m","4.91m","08th Aug 05  ","0.26m","0.01m","0.66m"
"102","New Super Mario Bros. 2    ","3DS","Nintendo  ","3.95m","11.33m","19th Aug 12  ","4.07m","2.59m","0.72m"
"103","Kinect Sports    ","X360","Microsoft Game Studios  ","3.92m","6.23m","04th Nov 10  ","1.73m","0.03m","0.55m"
"104","Gran Turismo 2    ","PS","Sony Computer Entertainment  ","3.88m","9.49m","17th Jan 99  ","3.42m","1.69m","0.50m"
"105","Guitar Hero II    ","PS2","RedOctane  ","3.81m","5.12m","07th Nov 06  ","0.63m","N/A","0.68m"
"106","Frogger    ","PS","Hasbro Interactive  ","3.79m","4.16m","30th Sep 97  ","0.27m","N/A","0.11m"
"107","Crash Bandicoot 2: Cortex Strikes Back    ","PS","Sony Computer Entertainment  ","3.78m","7.58m","31st Oct 97  ","2.17m","1.31m","0.31m"
"108","Red Dead Redemption    ","X360","Rockstar Games  ","3.77m","6.50m","18th May 10  ","2.03m","0.09m","0.60m"
"109","Red Dead Redemption 2    ","XOne","Rockstar Games  ","3.76m","5.77m","26th Oct 18  ","1.47m","N/A","0.54m"
"110","Call of Duty: WWII    ","XOne","Activision  ","3.75m","6.23m","03rd Nov 17  ","1.91m","N/A","0.57m"
"111","The Legend of Zelda    ","NES","Nintendo  ","3.74m","6.51m","22nd Aug 87  ","0.93m","1.69m","0.14m"
"112","Mario Party 8    ","Wii","Nintendo  ","3.74m","8.30m","29th May 07  ","2.27m","1.58m","0.70m"
"113","The Legend of Zelda: Twilight Princess    ","Wii","Nintendo  ","3.74m","7.18m","19th Nov 06  ","2.16m","0.60m","0.69m"
"114","Super Smash Bros. for 3DS    ","3DS","Nintendo  ","3.73m","8.32m","03rd Oct 14  ","1.50m","2.55m","0.54m"
"115","Crash Bandicoot 3: Warped    ","PS","Sony Computer Entertainment  ","3.68m","7.13m","31st Oct 98  ","1.75m","1.42m","0.28m"
"116","Kingdom Hearts    ","PS2","Square EA  ","3.64m","6.40m","16th Sep 02  ","1.20m","1.49m","0.07m"
"117","Marvel's Spider-Man    ","PS4","Sony Interactive Entertainment  ","3.64m","8.76m","07th Sep 18  ","3.39m","0.32m","1.41m"
"118","Madden NFL 07    ","PS2","EA Sports  ","3.63m","4.49m","22nd Aug 06  ","0.24m","0.01m","0.61m"
"119","Super Mario Galaxy 2    ","Wii","Nintendo  ","3.59m","7.57m","23rd May 10  ","2.37m","0.98m","0.62m"
"120","Fable III    ","X360","Microsoft Game Studios  ","3.59m","5.10m","26th Oct 10  ","1.09m","0.05m","0.37m"
"121","LEGO Star Wars: The Complete Saga    ","Wii","LucasArts  ","3.57m","5.66m","06th Nov 07  ","1.57m","N/A","0.52m"
"122","Gears of War    ","X360","Microsoft Game Studios  ","3.54m","6.09m","07th Nov 06  ","1.88m","0.07m","0.60m"
"123","Super Mario Kart    ","SNES","Nintendo  ","3.54m","8.76m","01st Sep 92  ","1.24m","3.81m","0.18m"
"124","Guitar Hero III: Legends of Rock    ","PS2","RedOctane  ","3.49m","4.98m","28th Oct 07  ","0.01m","0.01m","1.48m"
"125","Just Dance    ","Wii","Ubisoft  ","3.48m","7.21m","17th Nov 09  ","2.99m","N/A","0.73m"
"126","Zumba Fitness    ","Wii","Majesco  ","3.47m","6.76m","18th Nov 10  ","2.62m","N/A","0.67m"
"127","Brain Age 2: More Training in Minutes a Day    ","DS","Nintendo  ","3.43m","15.29m","20th Aug 07  ","5.36m","5.32m","1.18m"
"128","Tony Hawk's Pro Skater    ","PS","Activision  ","3.42m","5.02m","31st Aug 99  ","1.38m","0.02m","0.20m"
"129","Fallout 3    ","X360","Bethesda Softworks  ","3.41m","4.96m","28th Oct 08  ","0.99m","0.09m","0.46m"
"130","Super Mario Bros. Deluxe    ","GB","Nintendo  ","3.40m","5.07m","30th Apr 99  ","1.30m","0.15m","0.22m"
"131","Teenage Mutant Ninja Turtles    ","NES","Ultra Games  ","3.38m","4.17m","01st Jun 89  ","0.44m","0.31m","0.04m"
"132","Battlefield 1    ","XOne","Electronic Arts  ","3.37m","5.13m","21st Oct 16  ","1.26m","0.02m","0.48m"
"133","Madden NFL 2003    ","PS2","EA Sports  ","3.36m","4.14m","12th Aug 02  ","0.21m","0.01m","0.56m"
"134","Spyro the Dragon    ","PS","Sony Computer Entertainment  ","3.36m","5.00m","10th Sep 98  ","1.36m","0.07m","0.21m"
"135","Donkey Kong 64    ","N64","Nintendo  ","3.33m","5.27m","22nd Nov 99  ","0.79m","1.09m","0.06m"
"136","Star Wars Battlefront (2015)    ","PS4","Electronic Arts  ","3.31m","8.03m","17th Nov 15  ","3.19m","0.23m","1.30m"
"137","Uncharted 2: Among Thieves    ","PS3","Sony Computer Entertainment  ","3.28m","6.74m","13th Oct 09  ","2.22m","0.21m","1.02m"
"138","Assassin's Creed    ","X360","Ubisoft  ","3.28m","5.55m","13th Nov 07  ","1.64m","0.07m","0.56m"
"139","Need for Speed Underground    ","PS2","Electronic Arts  ","3.27m","7.20m","17th Nov 03  ","2.83m","0.08m","1.02m"
"140","Call of Duty: Black Ops IIII    ","XOne","Activision  ","3.27m","4.85m","12th Oct 18  ","1.12m","N/A","0.46m"
"141","Tekken 3    ","PS","Namco  ","3.27m","7.16m","29th Apr 98  ","2.22m","1.40m","0.29m"
"142","Call of Duty: Advanced Warfare    ","XOne","Activision  ","3.25m","5.22m","04th Nov 14  ","1.49m","0.01m","0.48m"
"143","Crash Bandicoot    ","PS","Sony Computer Entertainment  ","3.23m","6.82m","01st Sep 96  ","2.35m","0.94m","0.30m"
"144","Minecraft    ","XOne","Microsoft Studios  ","3.23m","5.43m","18th Nov 14  ","1.71m","N/A","0.49m"
"145","Microsoft Flight Simulator    ","PC","Microsoft  ","3.22m","5.12m","31st Oct 96  ","1.69m","N/A","0.20m"
"146","Mario Kart 8    ","WiiU","Nintendo  ","3.22m","7.69m","30th May 14  ","2.55m","1.39m","0.54m"
"147","Super Mario World: Super Mario Advance 2    ","GBA","Nintendo  ","3.21m","5.46m","09th Feb 02  ","1.11m","0.95m","0.20m"
"148","Donkey Kong Country Returns    ","Wii","Nintendo  ","3.19m","6.50m","21st Nov 10  ","1.81m","1.03m","0.47m"
"149","Guitar Hero III: Legends of Rock    ","X360","RedOctane  ","3.19m","4.53m","28th Oct 07  ","0.91m","0.01m","0.42m"
"150","Pokémon Stadium    ","N64","Nintendo  ","3.18m","5.45m","06th Mar 00  ","1.24m","0.94m","0.09m"
"151","Metal Gear Solid    ","PS","Konami  ","3.18m","6.03m","21st Oct 98  ","1.83m","0.78m","0.24m"
"152","Assassin's Creed II    ","X360","Ubisoft  ","3.14m","5.30m","17th Nov 09  ","1.55m","0.08m","0.52m"
"153","Super Mario Advance    ","GBA","Nintendo  ","3.14m","5.49m","10th Jun 01  ","1.24m","0.91m","0.20m"
"154","Call of Duty 4: Modern Warfare    ","PS3","Activision  ","3.13m","6.72m","05th Nov 07  ","2.27m","0.28m","1.04m"
"155","Assassin's Creed III    ","X360","Ubisoft  ","3.13m","5.31m","30th Oct 12  ","1.71m","0.03m","0.45m"
"156","Driver    ","PS","GT Interactive  ","3.11m","6.27m","30th Jun 99  ","2.80m","0.02m","0.33m"
"157","Call of Duty: Infinite Warfare    ","PS4","Activision  ","3.11m","8.48m","04th Nov 16  ","3.83m","0.19m","1.36m"
"158","Cooking Mama    ","DS","Majesco  ","3.09m","5.66m","12th Sep 06  ","1.92m","0.07m","0.58m"
"159","Link's Crossbow Training    ","Wii","Nintendo  ","3.05m","4.98m","19th Nov 07  ","1.17m","0.29m","0.46m"
"160","Tony Hawk's Pro Skater 2    ","PS","Activision  ","3.05m","4.68m","20th Sep 00  ","1.41m","0.02m","0.20m"
"161","Guitar Hero III: Legends of Rock    ","Wii","RedOctane  ","3.04m","4.60m","28th Oct 07  ","1.12m","0.00m","0.44m"
"162","Sonic the Hedgehog    ","GEN","Sega  ","3.03m","4.34m","23rd Jun 91  ","0.91m","0.26m","0.13m"
"163","Pokémon Pinball    ","GBC","Nintendo  ","3.02m","5.31m","31st Jul 99  ","1.12m","1.01m","0.16m"
"164","Final Fantasy VII    ","PS","Sony Computer Entertainment  ","3.01m","9.72m","03rd Sep 97  ","2.47m","3.28m","0.96m"
"165","Gran Turismo 4    ","PS2","Sony Computer Entertainment  ","3.01m","11.66m","22nd Feb 05  ","0.01m","1.10m","7.53m"
"166","Namco Museum    ","GBA","Namco  ","3.00m","4.24m","10th Jun 01  ","1.11m","0.05m","0.07m"
"167","Batman: Arkham City    ","X360","Warner Bros. Interactive  ","2.99m","4.75m","18th Oct 11  ","1.28m","0.04m","0.44m"
"168","Forza Motorsport 3    ","X360","Microsoft Game Studios  ","2.99m","5.50m","27th Oct 09  ","1.90m","0.10m","0.51m"
"169","Tetris    ","NES","Nintendo  ","2.97m","5.58m","01st Nov 89  ","0.69m","1.81m","0.11m"
"170","Gran Turismo 5    ","PS3","Sony Computer Entertainment  ","2.96m","10.75m","24th Nov 10  ","4.87m","0.81m","2.10m"
"171","Super Smash Bros.    ","N64","Nintendo  ","2.95m","5.55m","26th Apr 99  ","0.60m","1.97m","0.04m"
"172","Halo 5: Guardians    ","XOne","Microsoft Studios  ","2.94m","4.92m","27th Oct 15  ","1.49m","0.03m","0.45m"
"173","Fallout 4    ","XOne","Bethesda Softworks  ","2.94m","5.03m","10th Nov 15  ","1.62m","0.02m","0.45m"
"174","Medal of Honor: Frontline    ","PS2","Electronic Arts  ","2.93m","6.83m","28th May 02  ","2.75m","0.17m","0.99m"
"175","Super Mario Advance 4: Super Mario Bros. 3    ","GBA","Nintendo  ","2.93m","5.20m","21st Oct 03  ","1.25m","0.83m","0.20m"
"176","Final Fantasy X    ","PS2","Square  ","2.91m","8.05m","17th Dec 01  ","2.07m","2.73m","0.33m"
"177","Call of Duty: Infinite Warfare    ","XOne","Activision  ","2.91m","4.79m","04th Nov 16  ","1.44m","N/A","0.44m"
"178","Fallout 4    ","PS4","Bethesda Softworks  ","2.91m","8.48m","10th Nov 15  ","3.97m","0.27m","1.34m"
"179","Diddy Kong Racing    ","N64","Nintendo  ","2.91m","4.88m","24th Nov 97  ","0.99m","0.89m","0.10m"
"180","Grand Theft Auto: Liberty City Stories    ","PSP","Rockstar Games  ","2.90m","7.72m","25th Oct 05  ","2.83m","0.24m","1.74m"
"181","The Elder Scrolls IV: Oblivion    ","X360","Take-Two Interactive  ","2.89m","4.47m","07th Jul 09  ","1.03m","0.13m","0.41m"
"182","Gears of War: Ultimate Edition    ","XOne","Microsoft Studios  ","2.88m","3.62m","25th Aug 15  ","0.37m","N/A","0.37m"
"183","Assassin's Creed: Brotherhood    ","X360","Ubisoft  ","2.87m","3.53m","16th Nov 10  ","0.39m","0.03m","0.25m"
"184","Battlefield 3    ","PS3","Electronic Arts  ","2.86m","7.21m","25th Oct 11  ","2.94m","0.35m","1.07m"
"185","Call of Duty: Advanced Warfare    ","PS4","Activision  ","2.84m","7.53m","04th Nov 14  ","3.34m","0.14m","1.22m"
"186","LEGO Star Wars: The Complete Saga    ","DS","LucasArts  ","2.83m","4.77m","06th Nov 07  ","1.49m","N/A","0.45m"
"187","God of War (2018)    ","PS4","Sony Interactive Entertainment  ","2.83m","6.15m","20th Apr 18  ","2.17m","0.13m","1.02m"
"188","Red Dead Redemption    ","PS3","Rockstar Games  ","2.82m","6.57m","11th Oct 11  ","2.58m","0.17m","1.00m"
"189","Call of Duty: Advanced Warfare    ","X360","Activision  ","2.81m","4.34m","04th Nov 14  ","1.13m","0.00m","0.41m"
"190","LittleBigPlanet    ","PS3","Sony Computer Entertainment  ","2.80m","5.85m","28th Oct 08  ","2.01m","0.17m","0.87m"
"191","Pokémon Black 2 and White 2    ","DS","Nintendo  ","2.79m","8.16m","07th Oct 12  ","1.79m","3.16m","0.43m"
"192","Warzone 2100    ","PS","Eidos Interactive  ","2.79m","5.01m","31st May 99  ","1.89m","N/A","0.33m"
"193","Star Fox 64    ","N64","Nintendo  ","2.78m","4.03m","01st Jul 97  ","0.58m","0.64m","0.04m"
"194","Uncharted 3: Drake's Deception    ","PS3","Sony Computer Entertainment  ","2.77m","6.84m","01st Nov 11  ","2.81m","0.19m","1.06m"
"195","Pokémon Platinum Version    ","DS","Nintendo  ","2.76m","7.72m","22nd Mar 09  ","1.73m","2.69m","0.54m"
"196","Call of Duty: World at War    ","PS3","Activision  ","2.75m","5.43m","10th Nov 08  ","1.84m","N/A","0.84m"
"197","God of War III    ","PS3","Sony Computer Entertainment  ","2.74m","4.81m","16th Mar 10  ","1.36m","0.12m","0.60m"
"198","Batman: Arkham City    ","PS3","Warner Bros. Interactive  ","2.72m","5.54m","18th Oct 11  ","1.89m","0.11m","0.82m"
"199","Need for Speed Underground 2    ","PS2","Electronic Arts  ","2.71m","6.90m","15th Nov 04  ","3.02m","0.08m","1.09m"
"200","Kirby's Dream Land    ","GB","Nintendo  ","2.71m","5.13m","01st Aug 92  ","0.61m","1.70m","0.11m"
"201","Spider-Man: The Movie    ","PS2","Activision  ","2.71m","4.48m","15th Apr 02  ","1.51m","0.03m","0.23m"
"202","God of War    ","PS2","Sony Computer Entertainment  ","2.71m","4.45m","22nd Mar 05  ","1.29m","0.02m","0.43m"
"203","The Last of Us Remastered    ","PS4","Sony Computer Entertainment  ","2.70m","6.77m","29th Jul 14  ","2.86m","0.11m","1.10m"
"204","Super Smash Bros. for Wii U    ","WiiU","Nintendo  ","2.68m","5.07m","21st Nov 14  ","1.15m","0.85m","0.39m"
"205","Left 4 Dead 2    ","X360","Electronic Arts  ","2.67m","3.97m","17th Nov 09  ","0.88m","0.05m","0.38m"
"206","Fallout: New Vegas    ","X360","Bethesda Softworks  ","2.67m","4.08m","19th Oct 10  ","1.03m","0.04m","0.34m"
"207","Left 4 Dead    ","X360","Valve Corporation  ","2.66m","3.52m","18th Oct 08  ","0.49m","0.05m","0.31m"
"208","Tony Hawk's Pro Skater 3    ","PS2","Activision  ","2.66m","4.41m","28th Oct 01  ","1.29m","0.01m","0.46m"
"209","Assassin's Creed III    ","PS3","Ubisoft  ","2.65m","6.50m","30th Oct 12  ","2.61m","0.16m","1.08m"
"210","Michael Jackson: The Experience    ","Wii","Ubisoft  ","2.64m","4.37m","23rd Nov 10  ","1.33m","0.01m","0.39m"
"211","Metal Gear Solid 4: Guns of the Patriots    ","PS3","Konami  ","2.63m","6.00m","12th Jun 08  ","1.72m","0.83m","0.81m"
"212","Dr. Mario    ","NES","Nintendo  ","2.62m","4.85m","01st Oct 90  ","0.60m","1.52m","0.10m"
