"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"1","Joe Montana Football    ","GG","Sega  ","N/A","N/A","15th Aug 91  ","N/A","N/A","N/A"
"2","Joe Montana Football    ","GEN","Sega  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"3","Joe Montana Football    ","MS","Sega  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"4","Joe Montana Football    ","PC","Sega  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"5","Joe Montana II: Sports Talk Football    ","GEN","Sega  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"6","Joe Montana's NFL Football    ","SCD","Sega  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"7","John Elway's Quarterback    ","NES","Tradewest  ","N/A","N/A","01st Mar 89  ","N/A","N/A","N/A"
"8","John Madden Football    ","SNES","Electronic Arts  ","N/A","0.07m","01st Nov 91  ","N/A","0.07m","0.00m"
"9","John Madden Football    ","3DO","EA Sports  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"10","John Madden Football    ","GEN","Electronic Arts  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"11","John Madden Football '92    ","GEN","Electronic Arts  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"12","John Madden Football '93    ","SNES","Electronic Arts  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"13","John Madden Football '93     ","GEN","Electronic Arts  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"14","John Romero's Daikatana    ","PC","Eidos Interactive  ","N/A","0.00m","14th Apr 00  ","0.00m","N/A","N/A"
"15","John Romero's Daikatana    ","N64","Kemco  ","N/A","N/A","31st Jul 00  ","N/A","N/A","N/A"
"16","John Romero's Daikatana    ","GB","Kemco  ","N/A","N/A","30th Jun 00  ","N/A","N/A","N/A"
"17","John Tiller's Battleground Civil War     ","PC","Matrix Games   ","N/A","N/A","09th Nov 07  ","N/A","N/A","N/A"
"18","John Tiller's Battleground Napoleonic Wars    ","PC","Matrix Games   ","N/A","N/A","09th Nov 07  ","N/A","N/A","N/A"
"19","Johnny Bazookatone    ","SAT","U.S. Gold  ","N/A","N/A","01st Jan 96  ","N/A","N/A","N/A"
"20","Johnny Bazookatone    ","3DO","U.S. Gold  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"21","Johnny Bravo in The Hukka-Mega-Mighty-Ultra-Extreme Date-O-Rama     ","PS2","Blast! Entertainment Ltd  ","N/A","N/A","01st Nov 07  ","N/A","N/A","N/A"
"22","Johnny Hotshot    ","3DS","UFO Interactive  ","N/A","N/A","08th Nov 12  ","N/A","N/A","N/A"
"23","Johnny Impossible    ","3DS","UFO Interactive  ","N/A","N/A","27th Dec 12  ","N/A","N/A","N/A"
"24","Johnny Kung Fu    ","3DS","UFO Interactive  ","N/A","N/A","12th Jul 12  ","N/A","N/A","N/A"
"25","Johnny no Dasshutsu Daisakusen    ","DS","Success  ","N/A","0.00m","28th Aug 08  ","N/A","0.00m","N/A"
"26","Johnny Platform Saves Christmas    ","XBL","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"27","Johnny Platform Saves Xmas!    ","XBL","Microsoft  ","N/A","N/A","08th Dec 09  ","N/A","N/A","N/A"
"28","Johnny Platform's Biscuit Romp    ","XBL","Microsoft  ","N/A","N/A","26th Dec 08  ","N/A","N/A","N/A"
"29","Johnny Whatever    ","GIZ","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"30","Johnny's Minefield    ","XBL","Microsoft  ","N/A","N/A","17th Aug 09  ","N/A","N/A","N/A"
"31","Johnny's Skydiving Lessons    ","XBL","Microsoft  ","N/A","N/A","17th Sep 09  ","N/A","N/A","N/A"
"32","Joining Hands    ","OSX","10tons Ltd  ","N/A","N/A","09th Jan 12  ","N/A","N/A","N/A"
"33","Joining Hands    ","And","10tons Ltd  ","N/A","N/A","06th Nov 11  ","N/A","N/A","N/A"
"34","Joining Hands    ","PC","10tons Ltd  ","N/A","N/A","23rd Aug 12  ","N/A","N/A","N/A"
"35","Joining Hands    ","WinP","10tons Ltd  ","N/A","N/A","22nd Jan 13  ","N/A","N/A","N/A"
"36","Joining Hands 2    ","OSX","10tons Ltd  ","N/A","N/A","06th Sep 13  ","N/A","N/A","N/A"
"37","Joining Hands 2    ","And","10tons Ltd  ","N/A","N/A","06th Sep 13  ","N/A","N/A","N/A"
"38","Joining Hands 2    ","WinP","10tons Ltd  ","N/A","N/A","09th Sep 13  ","N/A","N/A","N/A"
"39","Joining Hands 2    ","PC","10tons Ltd  ","N/A","N/A","09th Sep 13  ","N/A","N/A","N/A"
"40","Joint Attack    ","PSN","Capcom  ","N/A","N/A","24th Jul 08  ","N/A","N/A","N/A"
"41","Joint Operations: Escalation    ","PC","NovaLogic  ","N/A","N/A","19th Nov 04  ","N/A","N/A","N/A"
"42","Joint Operations: Typhoon Rising    ","PC","NovaLogic  ","N/A","N/A","15th Jun 04  ","N/A","N/A","N/A"
"43","Joint Strike Future    ","XBL","Microsoft  ","N/A","N/A","29th Dec 08  ","N/A","N/A","N/A"
"44","Joint Task Force    ","PC","Sierra Entertainment  ","N/A","0.00m","12th Sep 06  ","0.00m","N/A","0.00m"
"45","Jojo no Kimyou na Bouken: Phantom Blood    ","PS2","Bandai  ","N/A","0.05m","26th Oct 06  ","N/A","0.05m","N/A"
"46","Jojo no Kimyouna Bouken: Ougon no Kaze    ","PS2","Capcom  ","N/A","N/A","25th Jul 02  ","N/A","N/A","N/A"
"47","Jojo's Bizarre Adventure    ","DC","Capcom  ","N/A","N/A","01st Jan 00  ","N/A","N/A","N/A"
"48","Jojo's Bizarre Adventure    ","X360","Capcom  ","N/A","N/A","21st Aug 12  ","N/A","N/A","N/A"
"49","Jojo's Bizarre Adventure    ","PS3","Capcom  ","N/A","0.01m","21st Aug 12  ","0.01m","N/A","0.00m"
"50","Jojo's Bizarre Adventure    ","Arc","Capcom  ","N/A","N/A","01st Jan 98  ","N/A","N/A","N/A"
"51","JoJo's Bizarre Adventure: Eyes of Heaven    ","PS4","Namco Bandai Games  ","N/A","0.04m","28th Jun 16  ","N/A","0.04m","N/A"
"52","JoJo's Bizarre Adventure: Eyes of Heaven    ","PS3","Namco Bandai Games  ","N/A","0.04m","17th Dec 15  ","N/A","0.04m","N/A"
"53","JoJo's Fashion Show    ","PC","iWin   ","N/A","N/A","27th Apr 08  ","N/A","N/A","N/A"
"54","Joker no Kuni no Alice    ","PSP","Quinrose  ","N/A","0.02m","27th Oct 11  ","N/A","0.02m","N/A"
"55","Jolly Rover    ","PC","Unknown  ","N/A","0.00m","07th Jun 10  ","0.00m","N/A","0.00m"
"56","Jonah Lomu Rugby    ","PS","Codemasters  ","N/A","N/A","31st Mar 97  ","N/A","N/A","N/A"
"57","Jonah Lomu Rugby     ","SAT","Codemasters  ","N/A","N/A","01st Jan 97  ","N/A","N/A","N/A"
"58","Jonah Lomu Rugby Challenge    ","PC","Sidhe Interactive  ","N/A","0.04m","13th Oct 11  ","0.04m","N/A","0.01m"
"59","Jonah Lomu Rugby Challenge    ","PS3","Home Entertainment Suppliers  ","N/A","0.25m","N/A  ","0.20m","N/A","0.05m"
"60","Jonah Lomu Rugby Challenge    ","PSV","Home Entertainment Suppliers  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"61","Jones in the Fast Lane    ","PC","Sierra Online   ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"62","Jonny Crush    ","XBL","Microsoft  ","N/A","N/A","10th May 09  ","N/A","N/A","N/A"
"63","Jordan vs Bird    ","GEN","Electronic Arts  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"64","Jordan vs Bird: One on One    ","NES","Milton Bradley  ","N/A","N/A","01st Aug 89  ","N/A","N/A","N/A"
"65","Jordan vs Bird: One on One    ","GB","Electronic Arts  ","N/A","N/A","01st Feb 92  ","N/A","N/A","N/A"
"66","Jordans Asteroids    ","XBL","Microsoft  ","N/A","N/A","03rd Jan 09  ","N/A","N/A","N/A"
"67","Joshua & the Battle of Jericho    ","NES","Wisdom Tree  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"68","Joshua & the Battle of Jericho    ","GB","Wisdom Tree  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"69","Joshua & the Battle of Jericho    ","GEN","Wisdom Tree  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"70","Jouchi Daigaku Tsuchiya Takahide Kyouju Kanshuu: Ryoukiki Exercise: Riron no Migi-te to Kansei no Hidari-te    ","DS","CyberFront  ","N/A","N/A","31st Jan 08  ","N/A","N/A","N/A"
"71","Journey Escape    ","2600","Data Age  ","N/A","N/A","01st Jan 82  ","N/A","N/A","N/A"
"72","Journey of a Roach    ","Linux","Daedalic Entertainment  ","N/A","N/A","04th Nov 13  ","N/A","N/A","N/A"
"73","Journey of a Roach    ","OSX","Daedalic Entertainment  ","N/A","N/A","04th Nov 13  ","N/A","N/A","N/A"
"74","Journey of a Roach    ","PC","Daedalic Entertainment  ","N/A","N/A","04th Nov 13  ","N/A","N/A","N/A"
"75","Journey to Silius    ","NES","Sunsoft  ","N/A","N/A","01st Sep 90  ","N/A","N/A","N/A"
"76","Journey to the Center of the Earth    ","PC","Viva Media  ","N/A","N/A","27th Oct 03  ","N/A","N/A","N/A"
"77","Journey: The Quest Begins    ","PC","Infocom  ","N/A","N/A","01st Jan 88  ","N/A","N/A","N/A"
"78","Joust    ","NES","HAL Laboratory  ","N/A","N/A","01st Oct 88  ","N/A","N/A","N/A"
"79","Joust    ","XBL","Midway Games  ","N/A","N/A","22nd Nov 05  ","N/A","N/A","N/A"
"80","Joust    ","7800","Atari  ","N/A","N/A","01st Jan 86  ","N/A","N/A","N/A"
"81","Joust    ","5200","Atari  ","N/A","N/A","01st Jan 83  ","N/A","N/A","N/A"
"82","Joust    ","Lynx","Shadowsoft, Inc.  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"83","Joust    ","PSN","Midway Games  ","N/A","N/A","24th May 07  ","N/A","N/A","N/A"
"84","Jovial Race    ","NES","Sachen  ","N/A","N/A","01st Jan 89  ","N/A","N/A","N/A"
"85","Joy Mech Fight    ","NES","Nintendo  ","N/A","N/A","21st May 93  ","N/A","N/A","N/A"
"86","Joy Mech Fight    ","VC","Nintendo  ","N/A","N/A","11th Mar 08  ","N/A","N/A","N/A"
"87","Joy Ride    ","XBL","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"88","Jozakari wa Toshishita mi    ","PC","Unknown  ","N/A","N/A","26th Aug 11  ","N/A","N/A","N/A"
"89","Judas Code    ","PSV","tri-Ace  ","N/A","N/A","21st Aug 14  ","N/A","N/A","N/A"
"90","Judge Dredd    ","SNES","Acclaim Entertainment  ","N/A","N/A","26th Oct 95  ","N/A","N/A","N/A"
"91","Judge Dredd    ","GG","Acclaim Entertainment  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"92","Judge Dredd    ","GB","Acclaim Entertainment  ","N/A","N/A","02nd Jan 95  ","N/A","N/A","N/A"
"93","Judge Dredd    ","GEN","Acclaim Entertainment  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"94","Judge Dredd    ","PC","Acclaim Entertainment  ","N/A","N/A","01st Jan 97  ","N/A","N/A","N/A"
"95","Judge Dredd    ","PSN","Zoo Digital Publishing  ","N/A","N/A","24th Jan 08  ","N/A","N/A","N/A"
"96","Judge Dredd: Dredd Vs Death    ","GC","Evolved Games  ","N/A","N/A","01st Mar 05  ","N/A","N/A","N/A"
"97","Judge Dredd: Dredd Vs Death    ","PC","Evolved Games  ","N/A","N/A","03rd Mar 05  ","N/A","N/A","N/A"
"98","Judgement Silversword: Rebirth Edition    ","WS","Qute  ","N/A","N/A","02nd Feb 04  ","N/A","N/A","N/A"
"99","Judgment     ","PS4","Sega  ","N/A","0.22m","25th Jun 19  ","N/A","0.22m","N/A"
"100","Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito    ","PSP","Gust  ","N/A","0.03m","08th Apr 10  ","N/A","0.03m","N/A"
"101","Judie no Atelier: Guramnat no Renkinjutsushi    ","PS2","Gust  ","N/A","0.07m","27th Jun 02  ","N/A","0.07m","N/A"
"102","Juggernaut Corps: First Assault    ","PC","Shepherd's Worlds  ","N/A","N/A","31st Jul 98  ","N/A","N/A","N/A"
"103","Juggle!    ","XBL","Microsoft  ","N/A","N/A","07th Sep 10  ","N/A","N/A","N/A"
"104","Juggler DS    ","DS","Commseed  ","N/A","0.01m","13th Nov 08  ","N/A","0.01m","N/A"
"105","Jugyou de Ecchi?    ","PC","Unknown  ","N/A","N/A","29th Jul 11  ","N/A","N/A","N/A"
"106","Juiced    ","PC","THQ  ","N/A","0.00m","13th Jun 05  ","0.00m","N/A","0.00m"
"107","Juiced 2: Hot Import Nights    ","PC","THQ  ","N/A","0.01m","20th Mar 08  ","0.01m","N/A","0.00m"
"108","Juiced 2: Hot Import Nights    ","PSN","THQ  ","N/A","N/A","30th Sep 09  ","N/A","N/A","N/A"
"109","Juiced 2: Hot Import Nights    ","XBL","THQ  ","N/A","N/A","10th Aug 10  ","N/A","N/A","N/A"
"110","Juka and the Monophonic Menace    ","GBA","SouthPeak Interactive  ","N/A","N/A","24th Oct 06  ","N/A","N/A","N/A"
"111","Jukugon    ","PSP","Sega  ","N/A","N/A","13th Jul 06  ","N/A","N/A","N/A"
"112","Jules Verne's Return To Mysterious Island    ","iOS","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"113","July    ","DC","Fortyfive  ","N/A","0.06m","27th Nov 98  ","N/A","0.06m","0.00m"
"114","Jump    ","GIZ","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"115","Jump Colon    ","XBL","Microsoft  ","N/A","N/A","09th Aug 09  ","N/A","N/A","N/A"
"116","Jump Duck    ","XBL","Microsoft  ","N/A","N/A","25th Nov 09  ","N/A","N/A","N/A"
"117","Jump Super Stars    ","DS","Nintendo  ","N/A","0.55m","08th Aug 05  ","N/A","0.55m","N/A"
"118","Jump Trials Supreme    ","3DS","G-Style  ","N/A","N/A","12th Dec 13  ","N/A","N/A","N/A"
"119","Jump Ultimate Stars    ","DS","Nintendo  ","N/A","0.74m","23rd Nov 06  ","N/A","0.74m","N/A"
"120","Jump*Start 1st Grade    ","PC","Unknown  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"121","Jump*Start Kindergarten    ","PC","Unknown  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"122","Jump*Start Math for Second Graders    ","PC","Unknown  ","N/A","N/A","01st Jan 96  ","N/A","N/A","N/A"
"123","Jumper Robot    ","XBL","Microsoft  ","N/A","N/A","16th Nov 09  ","N/A","N/A","N/A"
"124","Jumpgate Evolution    ","PC","Codemasters  ","N/A","N/A","01st Sep 11  ","N/A","N/A","N/A"
"125","Jumpin'    ","PSV","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"126","Jumpin' Derby    ","SNES","Naxat Soft  ","N/A","N/A","26th Apr 96  ","N/A","N/A","N/A"
"127","Jumping Flash!    ","PSN","Sony Computer Entertainment  ","N/A","N/A","04th Jan 07  ","N/A","N/A","N/A"
"128","Jumping Flash! 2    ","PSN","Sony Computer Entertainment  ","N/A","N/A","01st Oct 09  ","N/A","N/A","N/A"
"129","Jumpman    ","PC","IBM  ","N/A","N/A","01st Jan 84  ","N/A","N/A","N/A"
"130","JumpStart: Crazy Karts    ","Wii","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"131","JumpStart: Deep Sea Escape    ","DS","Knowledge Adventure  ","N/A","N/A","15th Mar 11  ","N/A","N/A","N/A"
"132","Junclassic C.C. & Rope Club    ","PS","T&E Soft  ","N/A","N/A","23rd Apr 98  ","N/A","N/A","N/A"
"133","Junction    ","GG","Micronet  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"134","Junction    ","GEN","Micronet  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"135","Jung Rhythm    ","SAT","Altron  ","N/A","N/A","15th Jan 98  ","N/A","N/A","N/A"
"136","Jungle Blocks    ","XBL","Microsoft  ","N/A","N/A","02nd Jun 09  ","N/A","N/A","N/A"
"137","Jungle Book    ","PC","IBM  ","N/A","N/A","01st Jan 96  ","N/A","N/A","N/A"
"138","Jungle Fever/Knight on the Town    ","2600","Playaround  ","N/A","N/A","01st Jan 82  ","N/A","N/A","N/A"
"139","Jungle Heat    ","And","MY.COM  ","N/A","N/A","21st Jun 13  ","N/A","N/A","N/A"
"140","Jungle Hunt    ","5200","Atari  ","N/A","N/A","01st Jan 83  ","N/A","N/A","N/A"
"141","Jungle Kartz    ","Wii","Nordic Games  ","N/A","0.00m","15th Oct 11  ","0.00m","N/A","0.00m"
"142","Jungle no Ouja Tachan    ","GB","Bandai  ","N/A","N/A","29th Jul 94  ","N/A","N/A","N/A"
"143","Jungle no Ouja Tachan: Sekai Manyuu Dai Kakutou no Maki    ","SNES","Bandai  ","N/A","N/A","18th Sep 94  ","N/A","N/A","N/A"
"144","Jungle Park    ","PS","Bandai  ","N/A","N/A","26th Feb 98  ","N/A","N/A","N/A"
"145","Jungle Party    ","PSP","Sony Computer Entertainment  ","N/A","0.00m","05th Nov 10  ","0.00m","N/A","0.00m"
"146","Jungle Party    ","PSN","Sony Computer Entertainment  ","N/A","N/A","08th Dec 10  ","N/A","N/A","N/A"
"147","Jungle School    ","DS","SouthPeak Interactive  ","N/A","N/A","29th Nov 11  ","N/A","N/A","N/A"
"148","Jungle Speed    ","WW","Playful Entertainment  ","N/A","N/A","12th Jan 09  ","N/A","N/A","N/A"
"149","Jungle Strike    ","SNES","Electronic Arts  ","N/A","N/A","01st Jun 95  ","N/A","N/A","N/A"
"150","Jungle Strike    ","GB","Malibu Games  ","N/A","N/A","01st Jun 95  ","N/A","N/A","N/A"
"151","Jungle Strike    ","GEN","Electronic Arts  ","N/A","N/A","16th Dec 93  ","N/A","N/A","N/A"
"152","Jungle Strike    ","GG","Black Pearl  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"153","Jungle Strike    ","PC","Electronic Arts  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"154","Jungle Wars    ","GB","Pony Canyon  ","N/A","N/A","21st Jun 91  ","N/A","N/A","N/A"
"155","Jungle Wars 2: Kodai Mahou Atimos no Nazo    ","SNES","Pony Canyon  ","N/A","N/A","19th Mar 93  ","N/A","N/A","N/A"
"156","Junior Brain Trainer: Maths Edition    ","DS","Avanquest Software  ","N/A","N/A","16th Mar 11  ","N/A","N/A","N/A"
"157","Junior League Sports    ","Wii","XS Games  ","N/A","N/A","05th May 10  ","N/A","N/A","N/A"
"158","Junior Work Zone    ","PS3","Unknown  ","N/A","N/A","15th Oct 11  ","N/A","N/A","N/A"
"159","Junior Work Zone    ","Wii","Unknown  ","N/A","N/A","15th Oct 11  ","N/A","N/A","N/A"
"160","Junjou Romanchika: Koi no Doki Doki Daisakusen    ","PS2","Marvelous Interactive  ","N/A","0.01m","27th Nov 08  ","N/A","0.01m","N/A"
"161","Junk Brain Diagnosis: Kanako Enomoto    ","PS","Oracion  ","N/A","N/A","25th Mar 99  ","N/A","N/A","N/A"
"162","Junktopia    ","And","Mobo Studio  ","N/A","N/A","01st May 13  ","N/A","N/A","N/A"
"163","Junkyard Battle    ","XBL","Microsoft  ","N/A","N/A","27th Sep 09  ","N/A","N/A","N/A"
"164","Jurassic Park    ","SCD","Sega  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"165","Jurassic Park    ","GEN","Sega  ","N/A","N/A","26th Aug 93  ","N/A","N/A","N/A"
"166","Jurassic Park    ","SNES","Ocean  ","N/A","N/A","01st Nov 93  ","N/A","N/A","N/A"
"167","Jurassic Park    ","GB","Ocean  ","N/A","N/A","01st Aug 93  ","N/A","N/A","N/A"
"168","Jurassic Park    ","MS","Sega  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"169","Jurassic Park    ","GG","Sega  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"170","Jurassic Park    ","PC","Ocean  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"171","Jurassic Park III: Danger Zone!    ","PC","Knowledge Adventure  ","N/A","N/A","29th Jun 05  ","N/A","N/A","N/A"
"172","Jurassic Park III: Dino Defender    ","PC","Knowledge Adventure  ","N/A","N/A","29th Jun 01  ","N/A","N/A","N/A"
"173","Jurassic Park III: The DNA Factor    ","GBA","Konami  ","N/A","N/A","16th Jul 01  ","N/A","N/A","N/A"
"174","Jurassic Park Institute Tour: Dinosaur Rescue    ","GBA","Rocket Company  ","N/A","N/A","18th Jul 03  ","N/A","N/A","N/A"
"175","Jurassic Park Interactive    ","3DO","Universal Interactive  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"176","Jurassic Park Part 2: The Chaos Continues    ","SNES","Ocean  ","N/A","N/A","01st Nov 94  ","N/A","N/A","N/A"
"177","Jurassic Park Part 2: The Chaos Continues    ","GB","Ocean  ","N/A","N/A","01st Dec 94  ","N/A","N/A","N/A"
"178","Jurassic Park: Builder    ","And","Ludia  ","N/A","N/A","08th Mar 13  ","N/A","N/A","N/A"
"179","Jurassic Park: Dinosaur Battles    ","PC","VU Games  ","N/A","N/A","17th Sep 02  ","N/A","N/A","N/A"
"180","Jurassic Park: Evolution    ","PC","Sierra Entertainment  ","N/A","N/A","28th Mar 03  ","N/A","N/A","N/A"
"181","Jurassic Park: Operation Genesis    ","PC","VU Games  ","N/A","0.02m","10th Mar 03  ","0.02m","N/A","0.00m"
"182","Jurassic Park: Rampage Edition    ","GEN","Sega  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"183","Jurassic Park: Scan Command    ","PC","Knowledge Adventure  ","N/A","N/A","01st Oct 01  ","N/A","N/A","N/A"
"184","Jurassic Park: The Game    ","PC","Telltale Games  ","N/A","N/A","15th Nov 11  ","N/A","N/A","N/A"
"185","Jurassic Park: The Game    ","PS3","Telltale Games  ","N/A","N/A","15th Nov 11  ","N/A","N/A","N/A"
"186","Just Breed    ","NES","Enix  ","N/A","N/A","15th Dec 92  ","N/A","N/A","N/A"
"187","Just Cause    ","PC","Eidos Interactive  ","N/A","0.02m","27th Sep 06  ","0.01m","N/A","0.00m"
"188","Just Cause 2    ","PC","Eidos Interactive  ","N/A","0.12m","23rd Mar 10  ","0.11m","N/A","0.02m"
"189","Just Cause 2    ","XBL","Square Enix  ","N/A","N/A","28th Dec 10  ","N/A","N/A","N/A"
"190","Just Dance 2017    ","PC","Ubisoft  ","N/A","N/A","25th Oct 16  ","N/A","N/A","N/A"
"191","Just Dance 2: Extra Songs    ","Wii","Ubisoft  ","N/A","0.20m","15th Jul 11  ","0.17m","N/A","0.03m"
"192","Just Dance Kids    ","X360","Ubisoft  ","N/A","N/A","04th Nov 11  ","N/A","N/A","N/A"
"193","Just Dance Wii    ","Wii","Nintendo  ","N/A","0.73m","13th Oct 11  ","N/A","0.73m","N/A"
"194","Just Dance Wii 2    ","Wii","Nintendo  ","N/A","0.29m","26th Jul 12  ","N/A","0.29m","N/A"
"195","Just Dance Wii U    ","WiiU","Nintendo  ","N/A","0.09m","03rd Apr 14  ","N/A","0.09m","N/A"
"196","Just Dance: Disney Party 2    ","Wii","Ubisoft  ","N/A","0.01m","20th Oct 15  ","0.01m","N/A","0.00m"
"197","Just Dance: Greatest Hits    ","X360","Ubisoft  ","N/A","N/A","26th Jul 12  ","N/A","N/A","N/A"
"198","Just Flight    ","PC","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"199","Just Jam    ","WW","Big John Games  ","N/A","N/A","07th Jul 11  ","N/A","N/A","N/A"
"200","Just Sing! 80s Collection    ","DSiW","DTP Entertainment  ","N/A","N/A","23rd Jun 11  ","N/A","N/A","N/A"
"201","Just Sing! Christmas Songs    ","DSiW","Engine Software  ","N/A","N/A","13th Dec 10  ","N/A","N/A","N/A"
"202","Just Sing! Christmas Vol. 2    ","DSiW","DTP Entertainment  ","N/A","N/A","20th Dec 10  ","N/A","N/A","N/A"
"203","Just Sing! National Anthems    ","DSiW","Engine Software  ","N/A","N/A","16th Aug 10  ","N/A","N/A","N/A"
"204","Just Sing! Vol. 2    ","DS","PQube  ","N/A","0.04m","23rd Sep 11  ","0.04m","N/A","0.00m"
"205","Justice League Heroes    ","XB","Warner Bros. Interactive  ","N/A","N/A","17th Oct 06  ","N/A","N/A","N/A"
"206","Justice League Heroes    ","PS2","Warner Bros. Interactive  ","N/A","N/A","17th Oct 06  ","N/A","N/A","N/A"
"207","Justice League Heroes    ","PSN","Warner Bros. Interactive  ","N/A","N/A","30th Sep 09  ","N/A","N/A","N/A"
"208","Justice League Task Force    ","SNES","Sunsoft  ","N/A","N/A","01st Jun 95  ","N/A","N/A","N/A"
"209","Justice League Task Force    ","GEN","Acclaim Entertainment  ","N/A","N/A","24th Aug 95  ","N/A","N/A","N/A"
"210","Justice League: Injustice for All    ","GBA","Midway Games  ","N/A","N/A","17th Nov 02  ","N/A","N/A","N/A"
"211","Juujimoto Ripputai Sypher    ","PC","Abel  ","N/A","N/A","24th Dec 04  ","N/A","N/A","N/A"
"212","Juujimoto Ripputai Sypher Portable    ","PSP","Abel  ","N/A","0.00m","27th Aug 09  ","N/A","0.00m","N/A"
"213","Juujimoto Ripputai Sypher: Game of Survival    ","PS2","Abel  ","N/A","N/A","28th Jun 07  ","N/A","N/A","N/A"
"214","Juuni Kokuki: Guren no Shirobe Koujin no Michi    ","PS2","Konami  ","N/A","N/A","28th Aug 03  ","N/A","N/A","N/A"
"215","Juuni Kokuki: Kakukakutaru Oudou Kouryoku no Uka    ","PS2","Konami  ","N/A","N/A","04th Apr 04  ","N/A","N/A","N/A"
"216","Juusei to Diamond    ","PSP","Sony Computer Entertainment  ","N/A","0.01m","18th Jun 09  ","N/A","0.01m","N/A"
"217","Juushin Enbu DS    ","DS","D3 Publisher  ","N/A","N/A","22nd Nov 07  ","N/A","N/A","N/A"
"218","Juushinden: Ultimate Beast Battlers    ","DS","Konami  ","N/A","N/A","06th Dec 07  ","N/A","N/A","N/A"
"219","Juvei Quest    ","NES","Namco  ","N/A","N/A","04th Jan 91  ","N/A","N/A","N/A"
"220","Jyuouki    ","PCE","NEC Avenue  ","N/A","N/A","29th Sep 89  ","N/A","N/A","N/A"
"221","Jyuouki (CD)    ","PCE","NEC Avenue  ","N/A","N/A","22nd Sep 89  ","N/A","N/A","N/A"
"222","Jyutei Senki    ","SNES","Enix  ","N/A","N/A","27th Aug 93  ","N/A","N/A","N/A"
"223","Jyuzaengi Engetsu Sangokuden 2    ","PSP","Idea Factory  ","N/A","0.03m","17th Apr 14  ","N/A","0.03m","N/A"
"224","Jyuzaengi: Engetsu Sangokuden    ","PSP","Idea Factory  ","N/A","0.03m","24th May 12  ","N/A","0.03m","N/A"
"225","Jyuzaengi: Engetsu Sangokuden 1 + 2    ","PSV","Idea Factory  ","N/A","0.01m","27th Aug 15  ","N/A","0.01m","N/A"
"226","K-1 Pocket Grand Prix    ","GBA","Konami  ","N/A","N/A","14th Mar 02  ","N/A","N/A","N/A"
"227","K-1 Pocket Grand Prix 2    ","GBA","Konami  ","N/A","N/A","28th Nov 02  ","N/A","N/A","N/A"
"228","K-1 World GP: Zettai Ouja Ikusei Keikaku    ","DS","D3 Publisher  ","N/A","N/A","06th Dec 07  ","N/A","N/A","N/A"
