"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"7216","Pathologic    ","Linux","Ice-pick Lodge  ","N/A","N/A","01st Jan 16  ","N/A","N/A","N/A"
"7217","Pathologic    ","OSX","Ice-pick Lodge  ","N/A","N/A","01st Jan 16  ","N/A","N/A","N/A"
"7218","Pathologic    ","PC","Ice-pick Lodge  ","N/A","N/A","01st Jan 16  ","N/A","N/A","N/A"
"7219","PathPix Zen    ","3DS","cerasus.media  ","N/A","N/A","14th Mar 13  ","N/A","N/A","N/A"
"7220","Pathway to Glory    ","NGage","Nokia  ","N/A","N/A","29th Nov 04  ","N/A","N/A","N/A"
"7221","Pathway to Glory: Ikusa Islands    ","NGage","Nokia  ","N/A","N/A","01st Nov 05  ","N/A","N/A","N/A"
"7222","Patisserie Nanyanko    ","DC","Pione Soft  ","N/A","N/A","22nd Sep 04  ","N/A","N/A","N/A"
"7223","Patrician II: Quest for Power    ","PC","Strategy First  ","N/A","N/A","08th Oct 01  ","N/A","N/A","N/A"
"7224","Patrician III: Rise of the Hanse    ","PC","Encore  ","N/A","N/A","31st Oct 03  ","N/A","N/A","N/A"
"7225","Patrician IV: Gold Edition    ","PC","Kalypso  ","N/A","0.01m","30th Aug 11  ","0.01m","N/A","0.00m"
"7226","Patriotic Pinball    ","PS","Gotham Games  ","N/A","N/A","22nd Apr 03  ","N/A","N/A","N/A"
"7227","Patriots: A Nation Under Fire    ","PC","DreamCatcher Interactive  ","N/A","N/A","23rd Jan 07  ","N/A","N/A","N/A"
"7228","Patterns Of Light    ","XBL","Microsoft  ","N/A","N/A","16th Apr 09  ","N/A","N/A","N/A"
"7229","Paul's Monster Adventure    ","DSiW","Agetec  ","N/A","N/A","20th Dec 10  ","N/A","N/A","N/A"
"7230","Paul's Shooting Adventure    ","DSiW","Agetec  ","N/A","N/A","01st Nov 10  ","N/A","N/A","N/A"
"7231","Pavilion    ","PS4","Unknown  ","N/A","N/A","01st Jan 15  ","N/A","N/A","N/A"
"7232","Pavilion    ","PSV","Unknown  ","N/A","N/A","01st Jan 15  ","N/A","N/A","N/A"
"7233","Paw Patrol on a Roll    ","NS","Outright Games  ","N/A","0.13m","23rd Oct 18  ","0.12m","N/A","0.01m"
"7234","Pawly Pets: My Pet Hotel     ","DS","Ubisoft  ","N/A","0.01m","08th May 07  ","0.01m","N/A","0.00m"
"7235","Pawly Pets: My Vet Practice     ","DS","Ubisoft  ","N/A","0.05m","02nd Feb 07  ","0.05m","N/A","0.00m"
"7236","Paws & Claws: Pampered Pets Resort 3D    ","3DS","Silver Fox Media  ","N/A","N/A","26th Sep 13  ","N/A","N/A","N/A"
"7237","Paws & Claws Pet Vet 2: Healing Hands    ","PC","THQ  ","N/A","N/A","30th Sep 07  ","N/A","N/A","N/A"
"7238","Paws & Claws Pet Vet: Australian Adventures    ","PC","THQ  ","N/A","N/A","16th Oct 08  ","N/A","N/A","N/A"
"7239","Paws & Claws: Pampered Pets    ","PC","THQ  ","N/A","N/A","05th Jan 09  ","N/A","N/A","N/A"
"7240","Paws & Claws: Pet Resort    ","PC","THQ  ","N/A","N/A","04th Feb 08  ","N/A","N/A","N/A"
"7241","Paws & Claws: Pet School    ","PC","THQ  ","N/A","N/A","20th Dec 06  ","N/A","N/A","N/A"
"7242","Paws & Claws: Pet Vet    ","PC","THQ  ","N/A","N/A","13th Feb 06  ","N/A","N/A","N/A"
"7243","Pax Romana    ","PC","DreamCatcher Interactive  ","N/A","N/A","06th Nov 03  ","N/A","N/A","N/A"
"7244","Payback    ","GBA","DSI Games  ","N/A","N/A","19th Nov 04  ","N/A","N/A","N/A"
"7245","Payday: The Heist    ","PSN","Sony Online Entertainment  ","N/A","N/A","18th Oct 11  ","N/A","N/A","N/A"
"7246","Payday: The Heist    ","PC","Sony Online Entertainment  ","N/A","N/A","20th Oct 11  ","N/A","N/A","N/A"
"7247","Payload    ","NGage","Nokia  ","N/A","N/A","14th Nov 05  ","N/A","N/A","N/A"
"7248","Payout Poker & Casino    ","PC","Namco  ","N/A","N/A","23rd Aug 06  ","N/A","N/A","N/A"
"7249","Payout Poker & Casino    ","XB","Namco  ","N/A","N/A","22nd Aug 06  ","N/A","N/A","N/A"
"7250","Payout Poker & Casino    ","PS2","Namco  ","N/A","N/A","23rd Aug 06  ","N/A","N/A","N/A"
"7251","PBR: Out of the Chute    ","PC","Crave Entertainment  ","N/A","N/A","01st Oct 08  ","N/A","N/A","N/A"
"7252","PBR: Out of the Chute    ","PSP","Crave Entertainment  ","N/A","N/A","01st Oct 08  ","N/A","N/A","N/A"
"7253","PC Engine Best Collection: Soldier Collection    ","PSP","Hudson Soft  ","N/A","0.00m","25th Sep 08  ","N/A","0.00m","N/A"
"7254","PC Engine Best Collection: Tengai Makyou Collection    ","PSP","Hudson Soft  ","N/A","0.02m","31st Jul 08  ","N/A","0.02m","N/A"
"7255","PC Engine Best Collention: Ginga Ojousama Densetsu Collection    ","PSP","Hudson Soft  ","N/A","0.01m","31st Jul 08  ","N/A","0.01m","N/A"
"7256","PC Fitness: Your Personal Trainer    ","PC","Focus Home Interactive  ","N/A","N/A","12th Dec 08  ","N/A","N/A","N/A"
"7257","PC Fútbol 2.0    ","PC","Dinamic Multimedia  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"7258","PC Fútbol 2000    ","PC","Dinamic Multimedia  ","N/A","N/A","01st Dec 99  ","N/A","N/A","N/A"
"7259","PC Fútbol 2001    ","PC","Dinamic Multimedia  ","N/A","N/A","01st Mar 01  ","N/A","N/A","N/A"
"7260","PC Fútbol 2005    ","PC","OnGames  ","N/A","N/A","20th Nov 04  ","N/A","N/A","N/A"
