"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"1","Rewrite    ","PC","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"2","Rewrite    ","PSV","Prototype  ","N/A","0.02m","28th Aug 14  ","N/A","0.02m","N/A"
"3","Rewrite: Harvest Festa!    ","PSV","Prototype  ","N/A","0.01m","18th May 17  ","N/A","0.01m","N/A"
"4","Rex Nebular and the Cosmic Gender Bender    ","PC","Microprose  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"5","Rex Rocket    ","PC","Unknown  ","N/A","N/A","05th Aug 14  ","N/A","N/A","N/A"
"6","Rex Ronan: Experimental Surgeon    ","SNES","Raya System  ","N/A","N/A","01st May 94  ","N/A","N/A","N/A"
"7","Rez    ","DC","Sega  ","N/A","N/A","11th Jan 02  ","N/A","N/A","N/A"
"8","Rez HD    ","XBL","Q Entertainment  ","N/A","N/A","30th Jan 08  ","N/A","N/A","N/A"
"9","Rezel Cross    ","PSP","Sony Computer Entertainment  ","N/A","0.01m","06th Sep 07  ","N/A","0.01m","N/A"
"10","Rezel Cross    ","PSN","Sony Computer Entertainment  ","N/A","N/A","15th Jul 09  ","N/A","N/A","N/A"
"11","RF Online    ","PC","Codemasters  ","N/A","N/A","21st Feb 06  ","N/A","N/A","N/A"
"12","rFactor    ","PC","Image Space Incorporated  ","N/A","0.00m","31st Aug 05  ","0.00m","N/A","0.00m"
"13","Rhyme Rider Kerorican    ","WS","Bandai  ","N/A","N/A","09th Dec 00  ","N/A","N/A","N/A"
"14","Rhythm Core Alpha    ","DSiW","SoftEgg Enterprises  ","N/A","N/A","09th Aug 10  ","N/A","N/A","N/A"
"15","Rhythm Core Alpha    ","PSN","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"16","Rhythm Core Alpha 2    ","DSi","SoftEgg Enterprises  ","N/A","N/A","20th Jun 13  ","N/A","N/A","N/A"
"17","Rhythm Core Alpha 2    ","3DS","SoftEgg Enterprises  ","N/A","N/A","20th Jun 13  ","N/A","N/A","N/A"
"18","Rhythm de Cooking    ","DS","MTO  ","N/A","0.00m","13th Nov 08  ","N/A","0.00m","N/A"
"19","Rhythm de RunRunRun    ","DS","Alpha Unit  ","N/A","N/A","09th Apr 09  ","N/A","N/A","N/A"
"20","Rhythm Destruction    ","PC","Unknown  ","N/A","N/A","16th Oct 12  ","N/A","N/A","N/A"
"21","Rhythm Heaven Fever    ","Wii","Nintendo  ","N/A","0.00m","13th Feb 12  ","0.00m","N/A","0.00m"
"22","Rhythm Heaven Megamix    ","3DS","Nintendo  ","N/A","0.80m","15th Jun 16  ","0.06m","0.73m","0.00m"
"23","Rhythm Tengoku    ","GBA","Nintendo  ","N/A","0.30m","03rd Aug 06  ","N/A","0.30m","0.01m"
"24","RHYTHM THIEF & the Paris Caper    ","PC","Sega  ","N/A","N/A","30th Oct 13  ","N/A","N/A","N/A"
"25","Rhythm Zone    ","PC","Unknown  ","N/A","N/A","20th Jul 10  ","N/A","N/A","N/A"
"26","Rhythm: Koi no Ritsudou    ","PC","Libido  ","N/A","N/A","17th Oct 97  ","N/A","N/A","N/A"
"27","Riana Rouge    ","PC","Black Dragon  ","N/A","N/A","01st Jan 97  ","N/A","N/A","N/A"
"28","Richard & Alice    ","PC","Mastertronic  ","N/A","N/A","05th Jun 14  ","N/A","N/A","N/A"
"29","Richard Burns Rally    ","PC","SCi  ","N/A","0.04m","03rd Sep 04  ","0.03m","N/A","0.00m"
"30","Richard Burns Rally    ","GIZ","Gizmondo Studios  ","N/A","N/A","22nd Oct 05  ","N/A","N/A","N/A"
"31","Richard Burns Rally    ","PS2","SCi  ","N/A","N/A","09th Jul 04  ","N/A","N/A","N/A"
"32","Richard Burns Rally    ","XB","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"33","Richard Scarry's Busy Town: Best Christmas Ever    ","PC","Simon & Schuster Interactive  ","N/A","N/A","01st Jan 99  ","N/A","N/A","N/A"
"34","Richard Scarry's How Things Work in Busy Town    ","PC","Simon & Schuster Interactive  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"35","Ricochet    ","PC","Valve  ","N/A","N/A","01st Nov 00  ","N/A","N/A","N/A"
"36","Ricochet HD    ","PSN","TikGames   ","N/A","N/A","04th Jan 11  ","N/A","N/A","N/A"
"37","Riddick Bowe Boxing    ","GB","Extreme Entertainment Group  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"38","Riddick Bowe Boxing    ","GG","Extreme Entertainment Group  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"39","Riddick Bowe Boxing    ","SNES","Extreme Entertainment Group  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"40","Riddle of The Sphinx    ","2600","Imagic  ","N/A","N/A","01st Jan 82  ","N/A","N/A","N/A"
"41","Riddle of the Sphinx 2: The Omega Stone    ","PC","DreamCatcher Interactive  ","N/A","N/A","19th Mar 03  ","N/A","N/A","N/A"
"42","Riddle Of The Tomb    ","PC","DreamCatcher Interactive  ","N/A","N/A","01st Apr 08  ","N/A","N/A","N/A"
