"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"43","Riddle Quest    ","And","Apprope  ","N/A","N/A","15th Apr 14  ","N/A","N/A","N/A"
"44","Ride    ","X360","Milestone S.r.l.  ","N/A","0.01m","23rd Jun 15  ","0.01m","N/A","0.00m"
"45","Ride    ","PC","Milestone S.r.l.  ","N/A","0.03m","23rd Jun 15  ","0.03m","N/A","0.00m"
"46","Ride    ","PS3","Milestone S.r.l.  ","N/A","0.06m","23rd Jun 15  ","0.03m","0.01m","0.01m"
"47","Ride 2    ","PC","Milestone S.r.l  ","N/A","0.02m","07th Oct 16  ","0.02m","N/A","0.00m"
"48","Ride to Hell    ","PC","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"49","Ride! Carnival Tycoon    ","PC","ValuSoft  ","N/A","0.00m","01st Aug 07  ","0.00m","N/A","N/A"
"50","Ridge Racer    ","PS","Namco  ","N/A","0.79m","09th Sep 95  ","N/A","0.74m","0.05m"
"51","Ridge Racer    ","PSN","Namco Bandai  ","N/A","N/A","17th Dec 09  ","N/A","N/A","N/A"
"52","Ridge Racer 2    ","PSP","Unknown  ","N/A","0.10m","31st Dec 20  ","0.03m","0.07m","0.01m"
"53","Ridge Racer 2    ","PSN","Namco Bandai  ","N/A","N/A","12th Jan 11  ","N/A","N/A","N/A"
"54","Ridge Racer 6    ","XBL","Namco Bandai  ","N/A","N/A","11th Aug 09  ","N/A","N/A","N/A"
"55","Ridge Racer Accelerated    ","iOS","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"56","Ridge Racer Slipstream    ","iOS","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"57","Ridge Racer Unbounded    ","PC","Namco Bandai Games  ","N/A","0.02m","27th Mar 12  ","0.02m","N/A","0.00m"
"58","Ridiculous Fishing    ","iOS","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"59","Ridiculous Fishing - A Tale of Redemption    ","iOS","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"60","Riding Academy    ","DS","Eidos Interactive  ","N/A","N/A","14th Nov 08  ","N/A","N/A","N/A"
"61","Riding Academy 2    ","DS","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"62","Riding Stables: The Whitakers present Milton and Friends    ","3DS","DTP Entertainment  ","N/A","0.04m","28th Oct 11  ","0.04m","N/A","0.00m"
"63","Rift    ","XBL","Microsoft  ","N/A","N/A","19th Nov 08  ","N/A","N/A","N/A"
"64","Rifts: Promise of Power    ","NGage","Nokia  ","N/A","N/A","19th Sep 05  ","N/A","N/A","N/A"
"65","RiftSpace    ","PC","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"66","Rig N' Roll    ","PC","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"67","Rig Racer 2    ","PS2","Metro 3D  ","N/A","N/A","12th Jul 05  ","N/A","N/A","N/A"
"68","Rig Racer 2    ","PC","Metro 3D  ","N/A","N/A","13th Oct 05  ","N/A","N/A","N/A"
"69","Rig'n'Roll    ","PC","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"70","RiglordSaga 2    ","SAT","Sega  ","N/A","N/A","08th Nov 96  ","N/A","N/A","N/A"
"71","Rigonauts    ","And","Unknown  ","N/A","N/A","23rd Oct 12  ","N/A","N/A","N/A"
"72","Rigonauts    ","PC","Unknown  ","N/A","N/A","08th Apr 12  ","N/A","N/A","N/A"
"73","Rika-Chan 3DS    ","3DS","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"74","Rika-Chan DS Motto! Onna no Ko Lesson: Oshare Oshigoto Otetsudai Daisuki!    ","DS","Takara Tomy   ","N/A","0.00m","05th Nov 09  ","N/A","0.00m","N/A"
"75","Rika-Chan no Oshare Nikki    ","GBA","Marvelous Interactive  ","N/A","N/A","25th Mar 04  ","N/A","N/A","N/A"
"76","Rikishi    ","DSiW","ArtePiazza  ","N/A","N/A","19th Jan 11  ","N/A","N/A","N/A"
"77","Rim: Battle Planets    ","PC","Fishtank Interactive  ","N/A","N/A","28th Mar 02  ","N/A","N/A","N/A"
"78","Rimo-Cocoron     ","PS2","Sony Computer Entertainment  ","N/A","0.05m","28th Jun 01  ","N/A","0.05m","N/A"
"79","Ring Infinity    ","WS","Kadokawa Shoten  ","N/A","N/A","10th Aug 00  ","N/A","N/A","N/A"
"80","Ring King    ","NES","Data East  ","N/A","N/A","01st Sep 87  ","N/A","N/A","N/A"
"81","Ring of Fire    ","XBL","Microsoft  ","N/A","N/A","28th May 09  ","N/A","N/A","N/A"
"82","Ring of Red    ","PSN","Konami  ","N/A","N/A","04th Oct 11  ","N/A","N/A","N/A"
"83","Ring of Sias    ","PS","Athena  ","N/A","N/A","12th Apr 96  ","N/A","N/A","N/A"
"84","Ring Rage    ","GB","Taito  ","N/A","N/A","29th Jan 93  ","N/A","N/A","N/A"
"85","Rings of Power    ","GEN","Electronic Arts  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"86","Rings of Power    ","PC","Electronic Arts  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"87","Rinne no Lagrange: Kamogawa Days Game & OVA Hybrid Disc    ","PS3","Namco Bandai Games  ","N/A","0.02m","23rd Aug 12  ","N/A","0.02m","N/A"
"88","RIOT    ","And","Unknown  ","N/A","N/A","15th Aug 13  ","N/A","N/A","N/A"
"89","RIOT    ","Linux","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"90","RIOT    ","OSX","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"91","RIOT    ","PC","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"92","RIOT    ","Ouya","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"93","Riot Police    ","PC","Activision Value  ","N/A","N/A","05th Feb 04  ","N/A","N/A","N/A"
"94","Riot Zone    ","VC","Hudson Soft  ","N/A","N/A","14th Jan 08  ","N/A","N/A","N/A"
"95","Riot Zone    ","PCE","Turbo Technologies  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"96","RIP Trilogy    ","PC","Meridian4  ","N/A","N/A","01st Jun 07  ","N/A","N/A","N/A"
"97","Ripley's Believe It or Not!: The Riddle of Master Lu    ","PC","U.S. Gold  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"98","Ripper    ","PC","Take-Two Interactive  ","N/A","N/A","29th Feb 96  ","N/A","N/A","N/A"
"99","Rippin' Riders    ","DC","Sega  ","N/A","N/A","31st Oct 99  ","N/A","N/A","N/A"
"100","Ripple Island    ","NES","Sunsoft  ","N/A","N/A","23rd Jan 88  ","N/A","N/A","N/A"
"101","Rise & Fall: Civilizations at War    ","PC","Midway Games  ","N/A","0.00m","12th Jun 06  ","0.00m","N/A","0.00m"
"102","Rise 2: Resurrection    ","PS","Acclaim Entertainment  ","N/A","N/A","06th Mar 96  ","N/A","N/A","N/A"
"103","Rise of Flight: Aces Edition    ","PC","Aerosoft  ","N/A","0.00m","25th Nov 11  ","0.00m","N/A","0.00m"
"104","Rise of Flight: The First Great Air War    ","PC","Unknown  ","N/A","N/A","29th Jun 09  ","N/A","N/A","N/A"
"105","Rise of Immortals    ","PC","Unknown  ","N/A","N/A","12th Sep 11  ","N/A","N/A","N/A"
"106","Rise of Incarnates    ","PC","Namco Bandai Games  ","N/A","N/A","01st Jan 15  ","N/A","N/A","N/A"
"107","Rise of Nations: Rise of Legends    ","PC","Microsoft Game Studios  ","N/A","0.03m","09th May 06  ","0.03m","N/A","0.01m"
"108","Rise of Nations: Thrones & Patriots    ","PC","Microsoft Game Studios  ","N/A","N/A","27th Apr 04  ","N/A","N/A","N/A"
"109","Rise of Prussia    ","PC","Paradox Interactive   ","N/A","N/A","09th Mar 10  ","N/A","N/A","N/A"
"110","Rise of the Argonauts    ","PC","Codemasters  ","N/A","0.01m","16th Dec 08  ","0.01m","N/A","0.00m"
"111","Rise of the Dragon    ","PC","Dynamix  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"112","Rise of the Dragon    ","SCD","Sega  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"113","Rise of the Guardians: The Video Game    ","WiiU","D3Publisher  ","N/A","N/A","04th Dec 12  ","N/A","N/A","N/A"
"114","Rise of the Guardians: The Video Game    ","X360","D3Publisher  ","N/A","N/A","20th Nov 12  ","N/A","N/A","N/A"
"115","Rise of the Guardians: The Video Game    ","Wii","D3Publisher  ","N/A","0.00m","20th Nov 12  ","0.00m","N/A","0.00m"
"116","Rise of the Guardians: The Video Game    ","3DS","D3Publisher  ","N/A","N/A","20th Nov 12  ","N/A","N/A","N/A"
"117","Rise of the Guardians: The Video Game    ","DS","D3Publisher  ","N/A","0.00m","20th Nov 12  ","0.00m","N/A","N/A"
"118","Rise of the Guardians: The Video Game    ","PS3","D3Publisher  ","N/A","N/A","20th Nov 12  ","N/A","N/A","N/A"
"119","Rise of the Phoenix    ","SNES","KOEI  ","N/A","N/A","01st Feb 95  ","N/A","N/A","N/A"
"120","Rise of the Ravager    ","X360","Gentleman Squid Studio   ","N/A","N/A","27th Mar 13  ","N/A","N/A","N/A"
"121","Rise of the Ravager    ","PC","Gentleman Squid Studio   ","N/A","N/A","26th Mar 13  ","N/A","N/A","N/A"
"122","Rise of the Ravager    ","Linux","Gentleman Squid Studio   ","N/A","N/A","21st May 13  ","N/A","N/A","N/A"
"123","Rise of the Robots    ","3DO","Absolute Entertainment  ","N/A","N/A","17th Mar 95  ","N/A","N/A","N/A"
"124","Rise of the Robots    ","SNES","Acclaim Entertainment  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"125","Rise of the Robots    ","GG","Acclaim Entertainment  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"126","Rise of the Robots    ","GEN","Acclaim Entertainment  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"127","Rise of the Robots    ","Amig","Time Warner Interactive  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"128","Rise of the Robots    ","MSD","Time Warner Interactive  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"129","Rise of the Robots    ","CDi","Philips Media France  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"130","Rise of the Tomb Raider    ","PC","Square Enix  ","N/A","0.15m","28th Jan 16  ","0.14m","N/A","0.01m"
"131","Rise of the Triad: Dark War     ","PC","Apogee  ","N/A","N/A","21st Dec 94  ","N/A","N/A","N/A"
"132","Risen    ","PC","Deep Silver  ","N/A","0.14m","02nd Oct 09  ","0.12m","N/A","0.02m"
"133","Risen    ","XBL","Deep Silver  ","N/A","N/A","05th Jul 11  ","N/A","N/A","N/A"
"134","Risen 2: Dark Waters    ","PC","Deep Silver  ","N/A","0.22m","26th Apr 12  ","0.19m","N/A","0.03m"
"135","Risen 3: Titan Lords Enhanced Edition    ","PC","Deep Silver  ","N/A","0.09m","12th Aug 14  ","0.08m","N/A","0.00m"
"136","Risen 3: Titan Lords Enhanced Edition    ","PS4","Deep Silver  ","N/A","0.07m","21st Aug 15  ","0.06m","N/A","0.01m"
"137","Rising Board 3D    ","3DS","Odenis Studio  ","N/A","N/A","20th Sep 12  ","N/A","N/A","N/A"
"138","Rising Generals    ","PC","InnoGames  ","N/A","N/A","01st Oct 14  ","N/A","N/A","N/A"
"139","Rising Kingdoms    ","PC","Black Bean Games  ","N/A","N/A","29th Aug 05  ","N/A","N/A","N/A"
"140","Rising Lands    ","PC","Microids  ","N/A","N/A","01st Jan 97  ","N/A","N/A","N/A"
"141","Risk    ","PS","Hasbro Interactive  ","N/A","N/A","31st May 98  ","N/A","N/A","N/A"
"142","Risk    ","PC","Hasbro Interactive  ","N/A","N/A","31st Dec 96  ","N/A","N/A","N/A"
"143","Risk II    ","PC","Microprose  ","N/A","N/A","29th Feb 00  ","N/A","N/A","N/A"
"144","Risk of Rain    ","PSV","Infocom, Inc.  ","N/A","N/A","31st Dec 20  ","N/A","N/A","N/A"
"145","Risk of Rain    ","PC","Infocom, Inc.  ","N/A","N/A","08th Nov 13  ","N/A","N/A","N/A"
"146","RISK: Factions    ","XBL","Electronic Arts  ","N/A","N/A","23rd Jun 10  ","N/A","N/A","N/A"
"147","RISK: Factions    ","PSN","Electronic Arts  ","N/A","N/A","21st Dec 10  ","N/A","N/A","N/A"
"148","Risky Woods    ","GEN","Electronic Arts  ","N/A","N/A","01st Jan 92  ","N/A","N/A","N/A"
"149","Ristar    ","GEN","Sega  ","N/A","N/A","16th Feb 95  ","N/A","N/A","N/A"
"150","Ristar    ","GG","Sega  ","N/A","N/A","01st Jan 95  ","N/A","N/A","N/A"
"151","Ristar    ","VC","Sega  ","N/A","N/A","04th Dec 06  ","N/A","N/A","N/A"
"152","Ristar    ","PC","Sega  ","N/A","N/A","22nd Jul 10  ","N/A","N/A","N/A"
"153","Rival Knights    ","And","Gameloft  ","N/A","N/A","05th Jun 14  ","N/A","N/A","N/A"
"154","Rival Realms    ","PC","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"155","Rival Turf!    ","SNES","Jaleco  ","N/A","N/A","23rd Dec 92  ","N/A","N/A","N/A"
"156","Rival Turf!    ","VC","Jaleco  ","N/A","N/A","02nd May 11  ","N/A","N/A","N/A"
"157","Rivals of Aether    ","PC","Unknown  ","N/A","N/A","01st Jan 16  ","N/A","N/A","N/A"
"158","RIVE    ","PC","Two Tribes  ","N/A","N/A","01st Jan 16  ","N/A","N/A","N/A"
"159","Riven: The Sequel to Myst    ","SAT","Sega  ","N/A","N/A","01st Jan 98  ","N/A","N/A","N/A"
"160","River City Ransom    ","NES","Technos Japan Corporation  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"161","River City Ransom    ","VC","Nintendo  ","N/A","N/A","21st Apr 08  ","N/A","N/A","N/A"
"162","River City Ransom    ","WiiU","Arc System Works  ","N/A","N/A","23rd Apr 15  ","N/A","N/A","N/A"
"163","River City Ransom    ","3DS","Arc System Works  ","N/A","N/A","14th Nov 13  ","N/A","N/A","N/A"
"164","River City Ransom 2    ","WW","Unknown  ","N/A","N/A","N/A  ","N/A","N/A","N/A"
"165","River City Ransom SP    ","3DS","Arc System Works  ","N/A","0.03m","27th Oct 16  ","N/A","0.03m","N/A"
"166","River City Super Sports Challenge: All-Star Special    ","PS3","Arc System Works  ","N/A","N/A","05th Mar 15  ","N/A","N/A","N/A"
"167","River King: Mystic Valley (jp sales)    ","DS","Natsume  ","N/A","0.03m","29th Apr 08  ","N/A","0.03m","N/A"
"168","River Patrol    ","2600","Tigervision  ","N/A","N/A","01st Jan 84  ","N/A","N/A","N/A"
"169","River Raid    ","5200","Activision  ","N/A","N/A","01st Jan 83  ","N/A","N/A","N/A"
"170","River Raid    ","PC","Activision  ","N/A","N/A","01st Jan 84  ","N/A","N/A","N/A"
"171","Riviera: The Promised Land    ","PSN","Atlus  ","N/A","N/A","21st Oct 09  ","N/A","N/A","N/A"
"172","Riviera: Yakusoku no Chi    ","WS","Bandai  ","N/A","N/A","12th Jul 02  ","N/A","N/A","N/A"
"173","Rizumu de Kitaeru Atarashii Eigo Duke Yasashii Kaiwa Hen    ","DSiW","Nintendo  ","N/A","N/A","27th May 09  ","N/A","N/A","N/A"
"174","Ro-Kyu-Bu!    ","PSP","Kadokawa Shoten  ","N/A","0.08m","27th Oct 11  ","N/A","0.08m","N/A"
"175","Ro-Kyu-Bu!    ","PSN","Kadokawa Shoten  ","N/A","N/A","27th Oct 11  ","N/A","N/A","N/A"
"176","Ro-Kyu-Bu! Lost Secret    ","PSP","Kadokawa Shoten  ","N/A","0.02m","20th Jun 13  ","N/A","0.02m","N/A"
"177","Ro-Kyu-Bu! Secret Photo Op    ","PSV","Kadokawa Games  ","N/A","0.01m","27th Mar 14  ","N/A","0.01m","N/A"
"178","Road & Track Presents: The Need for Speed    ","3DO","Electronic Arts Victor  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"179","Road & Track Presents: The Need for Speed    ","SAT","Electronic Arts  ","N/A","N/A","01st Jan 96  ","N/A","N/A","N/A"
"180","Road & Track Presents: The Need for Speed    ","PC","Electronic Arts  ","N/A","N/A","31st Aug 95  ","N/A","N/A","N/A"
"181","Road & Track Presents: The Need for Speed SE    ","PC","Electronic Arts  ","N/A","N/A","01st Jan 97  ","N/A","N/A","N/A"
"182","Road Avenger    ","SCD","Renovation  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"183","Road Fighter    ","NES","Konami  ","N/A","N/A","18th Jun 92  ","N/A","N/A","N/A"
"184","Road Fighter    ","VC","Konami  ","N/A","N/A","24th Nov 09  ","N/A","N/A","N/A"
"185","Road Not Taken    ","PSV","Spry Fox  ","N/A","N/A","01st Jan 15  ","N/A","N/A","N/A"
"186","Road Not Taken    ","PS4","Spry Fox  ","N/A","N/A","05th Aug 14  ","N/A","N/A","N/A"
"187","Road Not Taken    ","PC","Spry Fox  ","N/A","N/A","05th Aug 14  ","N/A","N/A","N/A"
"188","Road Rash    ","GEN","Electronic Arts  ","N/A","N/A","19th Nov 92  ","N/A","N/A","N/A"
"189","Road Rash    ","3DO","Electronic Arts  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"190","Road Rash    ","SAT","Electronic Arts  ","N/A","N/A","01st Jan 96  ","N/A","N/A","N/A"
"191","Road Rash    ","GG","U.S. Gold  ","N/A","N/A","01st Jan 94  ","N/A","N/A","N/A"
"192","Road Rash    ","GB","Ocean  ","N/A","N/A","01st Oct 96  ","N/A","N/A","N/A"
"193","Road Rash    ","SCD","Electronic Arts  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"194","Road Rash    ","MS","U.S. Gold  ","N/A","N/A","01st Jan 89  ","N/A","N/A","N/A"
"195","Road Rash (GBC)    ","GB","Electronic Arts  ","N/A","N/A","29th Nov 00  ","N/A","N/A","N/A"
"196","Road Rash 3    ","GEN","Electronic Arts  ","N/A","N/A","15th May 95  ","N/A","N/A","N/A"
"197","Road Rash II    ","GEN","Electronic Arts  ","N/A","N/A","22nd Jul 93  ","N/A","N/A","N/A"
"198","Road Rash Win 95    ","PC","Electronic Arts  ","N/A","N/A","30th Sep 96  ","N/A","N/A","N/A"
"199","Road Riot 4WD    ","SNES","THQ  ","N/A","N/A","31st Dec 92  ","N/A","N/A","N/A"
"200","Road Runner    ","2600","Atari  ","N/A","N/A","01st Jan 89  ","N/A","N/A","N/A"
"201","Road Runner    ","NES","Tengen  ","N/A","N/A","01st Jan 89  ","N/A","N/A","N/A"
"202","Road Runner    ","PC","Mindscape  ","N/A","N/A","01st Jan 89  ","N/A","N/A","N/A"
"203","Road Runner's Death Valley Rally    ","SNES","Sunsoft  ","N/A","N/A","01st Nov 92  ","N/A","N/A","N/A"
"204","Road to India: Between Hell and Nirvana    ","PC","Microids  ","N/A","N/A","16th Sep 01  ","N/A","N/A","N/A"
"205","Road Wars    ","PC","Activision  ","N/A","N/A","25th Aug 00  ","N/A","N/A","N/A"
"206","RoadBlasters    ","Lynx","Atari  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"207","RoadBlasters    ","NES","Mindscape  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
"208","RoadBlasters    ","GEN","Tengen  ","N/A","N/A","01st Jan 91  ","N/A","N/A","N/A"
"209","Roadster    ","GB","Tonkin House  ","N/A","N/A","19th Oct 90  ","N/A","N/A","N/A"
"210","Roadsters    ","DC","Titus  ","N/A","N/A","21st Nov 00  ","N/A","N/A","N/A"
"211","Roadsters    ","GB","Titus  ","N/A","N/A","01st Jan 00  ","N/A","N/A","N/A"
"212","Roadwar 2000    ","PC","SSI  ","N/A","N/A","01st Jan 87  ","N/A","N/A","N/A"
"213","Roary the Racing Car    ","DS","Avanquest  ","N/A","0.09m","07th Aug 09  ","0.08m","N/A","0.01m"
"214","Robbit Mon Dieu    ","PS","Sony Computer Entertainment  ","N/A","N/A","14th Oct 99  ","N/A","N/A","N/A"
"215","Robert E. Lee: Civil War General    ","PC","Sierra Entertainment  ","N/A","N/A","31st Jul 96  ","N/A","N/A","N/A"
"216","Robin Hood    ","2600","Xonox  ","N/A","N/A","01st Jan 83  ","N/A","N/A","N/A"
"217","Robin Hood    ","GB","Electronic Arts  ","N/A","N/A","30th Mar 01  ","N/A","N/A","N/A"
"218","Robin Hood: Defender of the Crown    ","PC","Capcom  ","N/A","N/A","06th Oct 03  ","N/A","N/A","N/A"
"219","Robin Hood: Legend of Sherwood    ","PC","Wanadoo Edition  ","N/A","N/A","15th Nov 02  ","N/A","N/A","N/A"
"220","Robin Hood: Prince of Thieves    ","NES","Virgin Interactive  ","N/A","N/A","01st Nov 91  ","N/A","N/A","N/A"
"221","Robin Hood: Prince of Thieves    ","GB","Virgin Interactive  ","N/A","N/A","01st Jun 93  ","N/A","N/A","N/A"
"222","Robin Hood: The Return of Richard    ","WW","Nordcurrent  ","N/A","N/A","28th Jun 10  ","N/A","N/A","N/A"
"223","Robin Hood: The Return of Richard    ","PSN","Nordcurrent  ","N/A","N/A","25th May 10  ","N/A","N/A","N/A"
"224","Robin's Quest: A Legend Born    ","And","Gogii Games  ","N/A","N/A","11th Jan 14  ","N/A","N/A","N/A"
"225","Robin's Quest: A Legend Born    ","PC","Strategy First  ","N/A","N/A","17th Apr 14  ","N/A","N/A","N/A"
"226","Robinson's Requiem    ","3DO","ReadySoft  ","N/A","N/A","01st Jan 96  ","N/A","N/A","N/A"
"227","Robo Aleste    ","SCD","Tengen  ","N/A","N/A","01st Jan 93  ","N/A","N/A","N/A"
"228","Robo Army    ","NG","SNK  ","N/A","N/A","20th Dec 91  ","N/A","N/A","N/A"
"229","Robo Army (CD)    ","NG","SNK  ","N/A","N/A","21st Apr 95  ","N/A","N/A","N/A"
"230","Robo Pit    ","SAT","THQ  ","N/A","N/A","01st Jan 96  ","N/A","N/A","N/A"
"231","Robo Rumble    ","PC","Interactive Magic  ","N/A","N/A","24th Feb 98  ","N/A","N/A","N/A"
"232","Robo Warrior    ","NES","Jaleco  ","N/A","N/A","01st Dec 88  ","N/A","N/A","N/A"
"233","Robo-Pit 2    ","PS","Mud Duck Productions  ","N/A","N/A","01st Jan 03  ","N/A","N/A","N/A"
"234","Robo-Squash    ","Lynx","Atari  ","N/A","N/A","01st Jan 90  ","N/A","N/A","N/A"
