"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"57","Peak Performance    ","PS","Atlus  ","0.02m","0.03m","31st Mar 97  ","0.01m","N/A","0.00m"
"58","Dragoneer's Aria    ","PSP","NIS America  ","0.02m","0.07m","21st Aug 07  ","0.00m","0.05m","0.00m"
"59","Freestyle Metal X    ","XB","Midway Games  ","0.02m","0.02m","14th Sep 03  ","0.00m","N/A","0.00m"
"60","Thunderbirds    ","GBA","Vivendi Games  ","0.02m","0.02m","10th Aug 04  ","0.01m","N/A","0.00m"
"61","World Series of Poker: Tournament of Champions 2007 Edition    ","PS2","Activision  ","0.02m","0.03m","21st Sep 06  ","0.01m","N/A","0.00m"
"62","Heavy Fire: Afghanistan    ","PC","Mastiff  ","0.02m","0.02m","22nd Nov 11  ","N/A","N/A","0.00m"
"63","Zoboomafoo: Leapin' Lemurs!    ","PS","Encore  ","0.02m","0.03m","07th Oct 01  ","0.01m","N/A","0.00m"
"64","ESPN NBA 2Night 2002    ","PS2","Konami  ","0.02m","0.03m","25th Feb 02  ","0.01m","N/A","0.00m"
"65","Lethal Enforcers I & II    ","PS","Konami  ","0.02m","0.03m","01st Jan 97  ","0.01m","N/A","0.00m"
"66","Titan Quest    ","PS4","THQ Nordic  ","0.02m","0.02m","20th Mar 18  ","N/A","N/A","0.00m"
"67","Metal Max Xeno    ","PS4","NIS America  ","0.02m","0.05m","25th Sep 18  ","N/A","0.03m","0.00m"
"68","Stoked: Big Air Edition    ","X360","Destineer  ","0.02m","0.04m","23rd Nov 09  ","0.02m","N/A","0.00m"
"69","Ducati World Racing Challenge    ","PS","Acclaim Entertainment  ","0.02m","0.03m","02nd Jan 01  ","0.01m","N/A","0.00m"
"70","Spider-Man 3    ","PC","Activision  ","0.02m","0.02m","04th May 07  ","0.00m","N/A","0.00m"
"71","DemiKids: Dark Version    ","GBA","Atlus  ","0.02m","0.02m","07th Oct 03  ","0.01m","N/A","0.00m"
"72","Back to the Future: The Game    ","X360","Telltale Games  ","0.02m","0.02m","13th Oct 15  ","0.00m","N/A","0.00m"
"73","Shaq-Fu: A Legend Reborn    ","XOne","Wired Productions  ","0.02m","0.02m","05th Jun 18  ","N/A","N/A","0.00m"
"74","Blender Bros.    ","GBA","Atari  ","0.02m","0.02m","15th Apr 02  ","0.01m","N/A","0.00m"
"75","Carmen Sandiego: The Secret of the Stolen Drums    ","GC","BAM! Entertainment  ","0.02m","0.02m","13th Sep 04  ","0.00m","N/A","0.00m"
"76","DemiKids: Light Version    ","GBA","Atlus  ","0.02m","0.02m","06th Oct 03  ","0.01m","N/A","0.00m"
"77","Battle Engine Aquila    ","PS2","Atari  ","0.02m","0.03m","19th Jan 03  ","0.01m","N/A","0.00m"
"78","ArmaGallant: Decks of Destiny    ","PS4","Maximum Games  ","0.02m","0.02m","04th Apr 17  ","N/A","N/A","0.00m"
"79","Rock Blast    ","Wii","UFO Interactive  ","0.02m","0.02m","09th Feb 10  ","N/A","N/A","0.00m"
"80","Commandos: Strike Force    ","XB","Eidos Interactive  ","0.02m","0.02m","04th Apr 06  ","0.00m","N/A","0.00m"
"81","Marvel Avengers: Battle for Earth    ","X360","Ubisoft  ","0.02m","0.02m","30th Oct 12  ","N/A","N/A","0.00m"
"82","MX vs. ATV Supercross    ","PS3","Nordic Games  ","0.02m","0.03m","28th Oct 14  ","0.01m","N/A","0.01m"
"83","Battle Assault 3 featuring Gundam Seed    ","PS2","Bandai  ","0.02m","0.03m","07th Dec 04  ","0.01m","N/A","0.00m"
"84","Crimson Tears    ","PS2","Capcom  ","0.02m","0.03m","21st Jul 04  ","0.01m","N/A","0.00m"
"85","Zathura    ","XB","2K Games  ","0.02m","0.02m","02nd Nov 05  ","0.00m","N/A","0.00m"
"86","Namco Museum Vol.4    ","PS","Namco  ","0.02m","0.20m","30th Jun 97  ","0.01m","0.16m","0.01m"
"87","Nectaris: Military Madness    ","PS","Jaleco  ","0.02m","0.03m","31st Dec 98  ","0.01m","N/A","0.00m"
"88","BRAHMA Force: The Assault on Beltlogger 9    ","PS","Jaleco  ","0.02m","0.03m","09th Apr 97  ","0.01m","N/A","0.00m"
"89","Emergency Mayhem    ","Wii","Codemasters  ","0.02m","0.02m","15th Apr 08  ","0.00m","N/A","0.00m"
"90","Robo Pit    ","PS","THQ  ","0.02m","0.03m","01st Jan 96  ","0.01m","N/A","0.00m"
"91","G1 Jockey 3    ","PS2","KOEI  ","0.02m","0.10m","28th May 03  ","0.01m","0.07m","0.00m"
"92","Barnyard Blast: Swine of the Night    ","DS","DSI Games  ","0.02m","0.02m","15th Feb 08  ","N/A","N/A","0.00m"
"93","Capcom Digital Collection    ","X360","Capcom  ","0.02m","0.02m","27th Mar 12  ","0.01m","N/A","0.00m"
"94","Terminator 3: The Redemption    ","GC","Atari  ","0.02m","0.02m","06th Sep 04  ","0.00m","N/A","0.00m"
"95","Balls of Fury    ","Wii","DSI Games  ","0.02m","0.02m","05th Oct 07  ","0.00m","N/A","0.00m"
"96","Master of Monsters: Disciples of Gaia    ","PS","ASCII Entertainment  ","0.02m","0.03m","31st Aug 98  ","0.01m","N/A","0.00m"
"97","Pro Evolution Soccer 2008    ","PSP","Konami  ","0.02m","0.98m","12th Mar 08  ","0.53m","0.19m","0.25m"
"98","Knight's Apprentice: Memorick's Adventures    ","XB","XS Games  ","0.02m","0.02m","15th Jun 04  ","0.00m","N/A","0.00m"
"99","XGRA: Extreme G Racing Association    ","GC","Acclaim Entertainment  ","0.02m","0.02m","24th Nov 03  ","0.00m","N/A","0.00m"
"100","Casper's Scare School: Spooky Sports Day     ","DS","Crave Entertainment  ","0.02m","0.02m","19th Oct 10  ","0.00m","N/A","0.00m"
"101","EverBlue 2    ","PS2","Capcom  ","0.02m","0.03m","24th Feb 03  ","0.01m","N/A","0.00m"
"102","Mechanic Master 2    ","DS","Crave Entertainment  ","0.02m","0.02m","20th Oct 10  ","N/A","N/A","0.00m"
"103","Space Hulk Tactics    ","XOne","Focus Home Interactive  ","0.02m","0.02m","09th Oct 18  ","N/A","N/A","0.00m"
"104","Carmageddon: Max Damage    ","PS4","Stainless Games  ","0.02m","0.02m","05th Jul 16  ","N/A","N/A","0.00m"
"105","Summon Night: Swordcraft Story    ","GBA","Atlus  ","0.02m","0.02m","26th Jul 06  ","0.01m","N/A","0.00m"
"106","WorldShift    ","PC","Playlogic Game Factory  ","0.02m","0.02m","10th Nov 09  ","N/A","N/A","0.00m"
"107","Iron Phoenix    ","XB","Sega  ","0.02m","0.02m","25th Mar 05  ","0.00m","N/A","0.00m"
"108","Golden Nugget Casino DS    ","DS","Majesco  ","0.02m","0.02m","15th Dec 05  ","N/A","N/A","0.00m"
"109","Tropico 5    ","XOne","Kalypso Media  ","0.02m","0.02m","24th May 16  ","N/A","N/A","0.00m"
"110","Casper: Spirit Dimensions    ","GC","TDK Mediactive  ","0.02m","0.02m","15th Oct 02  ","0.00m","N/A","0.00m"
"111","Armello    ","PS4","League of Geeks  ","0.02m","0.02m","13th Mar 18  ","N/A","N/A","0.00m"
"112","Valthirian Arc: Hero School Story    ","PS4","PQube  ","0.02m","0.02m","28th Sep 18  ","N/A","N/A","0.00m"
"113","Grid Runner    ","PS","Virgin Interactive  ","0.02m","0.03m","31st Oct 96  ","0.01m","N/A","0.00m"
"114","Group S Challenge    ","XB","Capcom  ","0.02m","0.02m","11th Nov 03  ","0.00m","N/A","0.00m"
"115","Super Speed Machines    ","DS","Majesco  ","0.02m","0.02m","16th Mar 10  ","N/A","N/A","0.00m"
"116","Titanic Mystery    ","Wii","O-Games  ","0.02m","0.02m","03rd Apr 12  ","0.00m","N/A","0.00m"
"117","World of Dragon Warrior - Torneko: The Last Hope    ","PS","Enix  ","0.02m","0.65m","15th Nov 00  ","0.01m","0.58m","0.04m"
"118","Mugen Souls Z    ","PS3","NIS America  ","0.02m","0.07m","20th May 14  ","0.01m","0.04m","0.01m"
"119","Warriors Orochi    ","PSP","KOEI  ","0.02m","0.20m","25th Mar 08  ","0.00m","0.18m","0.00m"
"120","Shaq-Fu: A Legend Reborn    ","PS4","Wired Productions  ","0.02m","0.02m","05th Jun 18  ","N/A","N/A","0.00m"
"121","Summon Night 6: Lost Borders    ","PSV","Gaijinworks  ","0.02m","0.09m","31st Oct 17  ","N/A","0.07m","0.01m"
"122","Raw Danger!    ","PS2","Agetec  ","0.02m","0.03m","19th Jun 07  ","0.01m","N/A","0.00m"
"123","Canada Hunt    ","Wii","Virtual Play Games  ","0.02m","0.02m","18th May 10  ","N/A","N/A","0.00m"
"124","Dakar 2: The World's Ultimate Rally    ","XB","Acclaim Entertainment  ","0.02m","0.02m","19th Jun 03  ","0.00m","N/A","0.00m"
"125","Aedis Eclipse: Generation of Chaos    ","PSP","NIS America  ","0.02m","0.02m","24th Apr 07  ","N/A","N/A","0.00m"
"126","Mega Man Legacy Collection 2    ","XOne","Capcom  ","0.02m","0.02m","08th Aug 17  ","N/A","N/A","0.00m"
"127","Roadsters    ","PS","Titus  ","0.02m","0.03m","21st Mar 00  ","0.01m","N/A","0.00m"
"128","Hurry Up Hedgehog!    ","DS","O-Games  ","0.02m","0.02m","16th Jun 09  ","N/A","N/A","0.00m"
"129","Dungeons 3    ","XOne","Kalypso Media  ","0.02m","0.02m","17th Oct 17  ","N/A","N/A","0.00m"
"130","2 in 1 Combo Pack: Sonic Mega Collection Plus / Super Monkey Ball Deluxe    ","XB","Sega  ","0.02m","0.02m","01st Jan 05  ","0.00m","N/A","0.00m"
"131","LEGO Indiana Jones: The Original Adventures    ","PC","LucasArts  ","0.02m","0.04m","03rd Jun 08  ","0.02m","N/A","0.00m"
"132","The Sims 3: World Adventures    ","PC","Electronic Arts  ","0.02m","0.57m","16th Nov 09  ","0.18m","N/A","0.37m"
"133","Football Manager 2012    ","PC","Sega  ","0.02m","1.50m","21st Oct 11  ","1.16m","N/A","0.32m"
"134","Puzzle Chronicles    ","DS","Konami  ","0.02m","0.02m","02nd Feb 10  ","0.00m","N/A","0.00m"
"135","Jelly Belly: Ballistic Beans    ","Wii","Zoo Digital Publishing  ","0.02m","0.02m","21st Apr 09  ","0.00m","N/A","0.00m"
"136","The King of Fighters NeoWave    ","XB","SNK Playmore  ","0.02m","0.02m","18th Apr 06  ","0.00m","N/A","0.00m"
"137","In Cold Blood    ","PS","DreamCatcher Interactive  ","0.02m","0.03m","30th May 01  ","0.01m","N/A","0.00m"
"138","Rad Rodgers    ","XOne","THQ Nordic  ","0.02m","0.02m","21st Feb 18  ","N/A","N/A","0.00m"
"139","Age of Mythology    ","PC","Microsoft Game Studios  ","0.02m","0.08m","01st Nov 02  ","0.06m","N/A","0.01m"
"140","Dance Factory    ","PS2","Codemasters  ","0.02m","0.03m","29th Aug 06  ","0.01m","N/A","0.00m"
"141","The Inner World: The Last Wind Monk    ","PS4","Kalypso Media  ","0.02m","0.02m","24th Oct 17  ","N/A","N/A","0.00m"
"142","Cube    ","PSP","D3 Publisher  ","0.02m","0.02m","30th Apr 07  ","N/A","N/A","0.00m"
"143","LEGO Indiana Jones 2: The Adventure Continues    ","PC","LucasArts  ","0.02m","0.05m","17th Nov 09  ","0.03m","N/A","0.01m"
"144","Tom Clancy's Splinter Cell Classic Trilogy HD    ","PSN","Ubisoft  ","0.02m","0.02m","21st Jun 11  ","N/A","N/A","0.00m"
"145","SteamWorld Collection    ","PS4","Rising Star Games  ","0.02m","0.02m","01st Nov 16  ","N/A","N/A","0.00m"
"146","Toukiden 2    ","PSV","Tecmo Koei  ","0.02m","0.15m","21st Mar 17  ","0.00m","0.13m","0.01m"
"147","Game of Thrones: A Telltale Games Series    ","PS3","Telltale Games  ","0.02m","0.04m","17th Nov 15  ","0.02m","N/A","0.01m"
"148","Let's Pilates!    ","DS","Konami  ","0.02m","0.02m","29th Apr 08  ","N/A","N/A","0.00m"
"149","Ice Age: Dawn of the Dinosaurs    ","PC","Activision  ","0.02m","0.02m","30th Jun 09  ","0.00m","N/A","0.00m"
"150","Namco Museum Vol.5    ","PS","Namco  ","0.02m","0.15m","01st Jan 97  ","0.01m","0.12m","0.01m"
"151","Hands On! Tangrams    ","DS","Storm City Games  ","0.02m","0.02m","24th Nov 09  ","N/A","N/A","0.00m"
"152","ESPN MLS ExtraTime 2002    ","GC","Konami  ","0.02m","0.02m","25th Mar 02  ","0.00m","N/A","0.00m"
"153","Blackguards 2    ","XOne","Kalypso Media  ","0.02m","0.02m","19th Sep 17  ","N/A","N/A","0.00m"
"154","Konductra    ","DS","O3 Entertainment  ","0.02m","0.02m","31st Oct 06  ","N/A","N/A","0.00m"
"155","Napoleon: Total War    ","PC","Sega  ","0.02m","0.67m","23rd Feb 10  ","0.54m","N/A","0.11m"
"156","Platypus    ","PSP","Mumbo Jumbo  ","0.02m","0.02m","17th Nov 06  ","0.00m","N/A","0.00m"
"157","Headhunter: Redemption    ","XB","Sega  ","0.02m","0.02m","21st Sep 04  ","0.00m","N/A","0.00m"
"158","Fritz Chess    ","Wii","Deep Silver  ","0.02m","0.02m","28th Jul 09  ","0.01m","N/A","0.00m"
"159","Labyrinth of Refrain: Coven of Dusk    ","NS","NIS America  ","0.02m","0.02m","18th Sep 18  ","N/A","0.01m","0.00m"
"160","Tennis World Tour    ","NS","Bigben Interactive  ","0.02m","0.02m","10th Jul 18  ","N/A","N/A","0.00m"
"161","Egg Mania: Eggstreme Madness    ","PS2","Kemco  ","0.02m","0.03m","12th Sep 02  ","0.01m","N/A","0.00m"
"162","Enemy Front    ","X360","City Interactive  ","0.02m","0.04m","10th Jun 14  ","0.03m","N/A","0.00m"
"163","Pro Evolution Soccer 2018    ","X360","Konami Digital Entertainment  ","0.02m","0.03m","12th Sep 17  ","0.01m","N/A","0.00m"
"164","Balls of Fury    ","DS","DSI Games  ","0.02m","0.02m","27th Sep 07  ","0.00m","N/A","0.00m"
"165","Chicago Enforcer    ","XB","Kemco  ","0.02m","0.02m","23rd Feb 05  ","0.00m","N/A","0.00m"
"166","Pirates PlundArrr    ","Wii","Majesco  ","0.02m","0.02m","25th May 10  ","N/A","N/A","0.00m"
"167","Timeshock! Pro Pinball    ","PS","Empire Interactive  ","0.02m","0.03m","31st Aug 98  ","0.01m","N/A","0.00m"
"168","Runbow    ","3DS","Nighthawk Interactive  ","0.02m","0.02m","20th Jun 17  ","N/A","N/A","0.00m"
"169","Rush Hour    ","PS","Psygnosis  ","0.02m","0.03m","30th Apr 97  ","0.01m","N/A","0.00m"
"170","Zoo Tycoon (2013)    ","X360","Microsoft Studios  ","0.02m","0.08m","22nd Nov 13  ","0.06m","N/A","0.01m"
"171","Kill.switch    ","GBA","Destination Software, Inc  ","0.02m","0.02m","16th Sep 04  ","0.01m","N/A","0.00m"
"172","Naruto: Ninja Destiny    ","DS","D3Publisher  ","0.02m","0.19m","20th Mar 08  ","0.01m","0.16m","0.00m"
"173","Minecraft: Story Mode - Season Two    ","NS","Telltale Games  ","0.02m","0.02m","06th Nov 18  ","N/A","N/A","0.00m"
"174","Tank! Tank! Tank!    ","WiiU","Namco Bandai Games  ","0.02m","0.07m","18th Nov 12  ","0.01m","0.05m","0.00m"
"175","The Haunted: Hell's Reach    ","PC","Visco  ","0.02m","0.02m","20th Oct 11  ","N/A","N/A","0.00m"
"176","Burnout Dominator    ","PSP","Electronic Arts  ","0.02m","0.45m","06th Mar 07  ","0.38m","0.01m","0.05m"
"177","Dragon Booster    ","DS","Konami  ","0.02m","0.02m","07th Dec 05  ","0.00m","N/A","0.00m"
"178","Monopoly Collection     ","Wii","Electronic Arts  ","0.02m","0.09m","01st Nov 11  ","0.07m","N/A","0.01m"
"179","Rogue Trooper Redux    ","XOne","Rebellion  ","0.02m","0.02m","17th Oct 17  ","N/A","N/A","0.00m"
"180","FIFA Football    ","PSV","EA Sports  ","0.02m","0.12m","27th Sep 11  ","0.09m","N/A","0.02m"
"181","Cabela's Big Game Hunter: Pro Hunts    ","WiiU","Activision  ","0.02m","0.02m","26th Mar 14  ","N/A","N/A","0.00m"
"182","Zoey 101: Field Trip Fiasco    ","DS","THQ  ","0.02m","0.02m","11th Sep 07  ","N/A","N/A","0.00m"
"183","Warhammer 40,000: Inquisitor - Martyr    ","XOne","Neocore Games  ","0.02m","0.02m","28th Aug 18  ","N/A","N/A","0.00m"
"184","Sunny Garcia Surfing    ","PS2","Ubisoft  ","0.02m","0.03m","22nd Oct 01  ","0.01m","N/A","0.00m"
"185","Halo: Combat Evolved    ","PC","Microsoft Game Studios  ","0.02m","0.04m","30th Sep 03  ","0.02m","N/A","0.00m"
"186","XGRA: Extreme G Racing Association    ","XB","Acclaim Entertainment  ","0.02m","0.02m","17th Sep 03  ","0.00m","N/A","0.00m"
"187","Serious Sam 3: BFE    ","PC","Devolver Digital  ","0.01m","0.08m","22nd Nov 11  ","0.05m","N/A","0.01m"
"188","Crayola Scoot    ","PS4","Outright Games  ","0.01m","0.02m","16th Oct 18  ","N/A","N/A","0.00m"
"189","The King of Fighters 2006    ","PS2","SNK Playmore  ","0.01m","0.08m","19th Sep 06  ","0.01m","0.05m","0.00m"
"190","Collar x Malice    ","PSV","Aksys Games  ","0.01m","0.05m","28th Jul 17  ","N/A","0.03m","0.01m"
"191","My Ballet Studio    ","DS","505 Games  ","0.01m","0.02m","17th Nov 09  ","0.00m","N/A","0.00m"
"192","PDC World Championship Darts 2008    ","DS","Unknown  ","0.01m","0.02m","N/A  ","N/A","N/A","0.00m"
"193","Rabbids Land    ","WiiU","Ubisoft  ","0.01m","0.03m","18th Nov 12  ","0.01m","N/A","0.00m"
"194","Super Fruit Fall    ","Wii","Codemasters  ","0.01m","0.02m","01st Jan 07  ","0.00m","N/A","0.00m"
"195","Garfield's Nightmare    ","DS","Game Factory  ","0.01m","0.02m","04th Sep 07  ","0.00m","N/A","0.00m"
"196","Shiren The Wanderer: The Tower of Fortune and the Dice of Fate    ","PSV","Aksys Games  ","0.01m","0.06m","26th Jul 16  ","N/A","0.04m","0.01m"
"197","Motocross Mania 3    ","XB","2K Games  ","0.01m","0.02m","27th Apr 05  ","0.00m","N/A","0.00m"
"198","Spider-Man 3     ","PSP","Activision  ","0.01m","0.31m","16th Oct 07  ","0.24m","N/A","0.06m"
"199","Wakeboarding Unleashed Featuring Shaun Murray    ","GBA","Aspyr  ","0.01m","0.02m","10th Nov 03  ","0.01m","N/A","0.00m"
"200","Nicktoons Collection: Game Boy Advance Video Volume 3    ","GBA","Majesco  ","0.01m","0.02m","04th Apr 05  ","0.01m","N/A","0.00m"
"201","S.L.A.I.: Steel Lancer Arena International    ","PS2","Konami  ","0.01m","0.03m","21st Sep 05  ","0.01m","N/A","0.00m"
"202","Vikings: Wolves of Midgard    ","XOne","Kalypso Media  ","0.01m","0.02m","28th Mar 17  ","N/A","N/A","0.00m"
"203","Myth Makers: Super Kart GP    ","Wii","Conspiracy Entertainment  ","0.01m","0.02m","07th Dec 07  ","0.00m","N/A","0.00m"
"204","Graffiti Kingdom    ","PS2","Hot-B  ","0.01m","0.03m","28th Jul 05  ","0.01m","N/A","0.00m"
"205","NEVES    ","DS","Yuke's  ","0.01m","0.02m","06th Nov 07  ","0.00m","N/A","0.00m"
"206","Sarah: Keeper of the Unicorn    ","DS","DreamCatcher Interactive  ","0.01m","0.02m","25th Aug 09  ","N/A","N/A","0.00m"
"207","The Adventures of Lomax    ","PS","Psygnosis  ","0.01m","0.03m","31st Oct 96  ","0.01m","N/A","0.00m"
"208","Adventure Time: Pirates of the Enchiridion     ","PS4","Outright Games  ","0.01m","0.02m","17th Jul 18  ","N/A","N/A","0.00m"
"209","Meteos: Disney Magic    ","DS","Disney Interactive Studios  ","0.01m","0.04m","20th Feb 07  ","0.02m","N/A","0.00m"
"210","Poy Poy    ","PS","Konami  ","0.01m","0.03m","30th Sep 97  ","0.01m","N/A","0.00m"
"211","Shonen Jump's Shaman King: Master of Spirits 2    ","GBA","Konami  ","0.01m","0.02m","02nd Aug 05  ","0.01m","N/A","0.00m"
"212","Pump It Up: Exceed    ","XB","Mastiff  ","0.01m","0.02m","29th Aug 05  ","0.00m","N/A","0.00m"
"213","Dream Dancer    ","DS","Unknown  ","0.01m","0.02m","N/A  ","N/A","N/A","0.00m"
"214","QuickSpot    ","DS","Namco Bandai  ","0.01m","0.14m","19th Mar 07  ","N/A","0.13m","0.00m"
