"","game","platform","publisher","NA_Sales","Total_Sales","Release_Date","PAL_Sales","JP_Sales","Other_Sales"
"1","The LEGO Movie Videogame    ","PC","Warner Bros. Interactive Entertainment  ","0.02m","0.06m","07th Feb 14  ","0.04m","N/A","0.00m"
"2","Virtua Tennis 3    ","PSP","Sega  ","0.02m","0.05m","26th Mar 07  ","0.02m","N/A","0.01m"
"3","Metal Gear Solid: Digital Graphic Novel    ","PSP","Konami  ","0.02m","0.04m","13th Jun 06  ","0.00m","0.02m","0.00m"
"4","Hello Kitty Kruisers    ","NS","Rising Star Games  ","0.02m","0.02m","15th May 18  ","N/A","N/A","0.00m"
"5","DragonHeart: Fire & Steel    ","PS","Acclaim Entertainment  ","0.02m","0.03m","30th Nov 96  ","0.01m","N/A","0.00m"
"6","SD Gundam Force: Showdown!    ","PS2","Bandai  ","0.02m","0.04m","11th Oct 04  ","0.01m","N/A","0.00m"
"7","Serious Sam Advance    ","GBA","Global Star Software  ","0.02m","0.02m","12th Apr 04  ","0.01m","N/A","0.00m"
"8","Flow: Urban Dance Uprising    ","PS2","Ubisoft  ","0.02m","0.04m","15th Nov 05  ","0.01m","N/A","0.00m"
"9","Metal Slug Anthology     ","PSP","SNK Playmore  ","0.02m","0.05m","20th Feb 07  ","0.00m","0.02m","0.01m"
"10","EyePet    ","PSP","Sony Computer Entertainment  ","0.02m","0.28m","02nd Nov 10  ","0.17m","N/A","0.09m"
"11","Casper's Scare School: Spooky Sports Day    ","Wii","Crave Entertainment  ","0.02m","0.02m","19th Oct 10  ","0.00m","N/A","0.00m"
"12","Total Immersion Racing    ","XB","Empire Interactive  ","0.02m","0.02m","18th Nov 02  ","0.01m","N/A","0.00m"
"13","Shaq-Fu: A Legend Reborn    ","NS","Wired Productions  ","0.02m","0.02m","05th Jun 18  ","N/A","N/A","0.00m"
"14","Winter Blast: 9 Snow & Ice Games    ","Wii","Destineer  ","0.02m","0.02m","23rd Mar 10  ","N/A","N/A","0.00m"
"15","Dreamer Series: Horse Trainer    ","DS","DreamCatcher Interactive  ","0.02m","0.02m","16th Dec 08  ","N/A","N/A","0.00m"
"16","This Is the Police 2    ","XOne","THQ Nordic  ","0.02m","0.02m","25th Sep 18  ","N/A","N/A","0.00m"
"17","Exist Archive: The Other Side of the Sky    ","PS4","Aksys Games  ","0.02m","0.06m","18th Oct 16  ","N/A","0.03m","0.00m"
"18","BioShock 2    ","PC","2K Games  ","0.02m","0.24m","09th Feb 10  ","0.19m","N/A","0.03m"
"19","Disney's Magical Quest 3 Starring Mickey and Donald    ","GBA","Capcom  ","0.02m","0.02m","14th Jun 05  ","0.01m","N/A","0.00m"
"20","Gear Club Unlimited 2    ","NS","Microids  ","0.02m","0.02m","04th Dec 18  ","N/A","N/A","0.00m"
"21","Chrysler Classic Racing    ","DS","Zoo Games  ","0.02m","0.02m","25th Nov 08  ","N/A","N/A","0.00m"
"22","RedCard 20-03    ","GC","Midway Games  ","0.02m","0.02m","24th Jun 02  ","0.00m","N/A","0.00m"
"23","Final Fantasy XIV: Heavensward    ","PS3","Square Enix  ","0.02m","0.04m","23rd Jun 15  ","N/A","0.01m","0.00m"
"24","Flipping Death    ","PS4","Rising Star   ","0.02m","0.02m","16th Oct 18  ","N/A","N/A","0.00m"
"25","Redout    ","XOne","505 Games  ","0.02m","0.02m","29th Aug 17  ","N/A","N/A","0.00m"
"26","RollerCoaster Tycoon    ","PC","Microprose  ","0.02m","0.04m","31st Mar 99  ","0.02m","N/A","0.00m"
"27","Tricky Towers    ","PS4","Soedesco  ","0.02m","0.02m","17th Nov 17  ","N/A","N/A","0.00m"
"28","Troll and I    ","XOne","Maximum Games  ","0.02m","0.02m","21st Mar 17  ","N/A","N/A","0.00m"
"29","This Is the Police 2    ","PS4","THQ Nordic  ","0.02m","0.02m","25th Sep 18  ","N/A","N/A","0.00m"
"30","Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings    ","NS","Tecmo Koei  ","0.02m","0.03m","27th Mar 18  ","N/A","0.01m","0.00m"
"31","Reversal Challenge    ","DS","Tommo  ","0.02m","0.02m","03rd Nov 09  ","N/A","N/A","0.00m"
"32","NHRA Drag Racing: Countdown to the Championship    ","PS2","THQ  ","0.02m","0.04m","24th Jul 07  ","0.01m","N/A","0.00m"
"33","Microsoft Flight Simulator X    ","PC","Microsoft Game Studios  ","0.02m","0.47m","17th Oct 06  ","0.41m","N/A","0.04m"
"34","Runner3    ","NS","Nicalis  ","0.02m","0.02m","22nd May 18  ","N/A","N/A","0.00m"
"35","Colin McRae Rally 2.0    ","GBA","Codemasters  ","0.02m","0.02m","16th Sep 02  ","0.01m","N/A","0.00m"
"36","FunkMaster Flex's Digital Hitz Factory    ","PS2","XS Games  ","0.02m","0.04m","28th Jul 04  ","0.01m","N/A","0.00m"
"37","Arcana Heart 3: Love Max!!!!!    ","PSV","Aksys Games  ","0.02m","0.04m","23rd Sep 14  ","0.00m","0.02m","0.01m"
"38","NFL Blitz Pro    ","GC","Midway Games  ","0.02m","0.02m","02nd Dec 03  ","0.00m","N/A","0.00m"
"39","Portal Knights    ","XOne","505 Games  ","0.02m","0.02m","23rd May 17  ","N/A","N/A","0.00m"
"40","Toxic Grind    ","XB","THQ  ","0.02m","0.02m","27th Oct 02  ","0.00m","N/A","0.00m"
"41","American McGee presents ScrapLand    ","XB","Enlight  ","0.02m","0.02m","28th Feb 05  ","0.00m","N/A","0.00m"
"42","AirForce Delta Storm    ","GBA","Konami  ","0.02m","0.02m","16th Sep 02  ","0.01m","N/A","0.00m"
"43","Rebel Raiders: Operation Nighthawk    ","PS2","XS Games  ","0.02m","0.03m","21st Mar 06  ","0.01m","N/A","0.00m"
"44","Past Cure    ","XOne","Phantom 8 Studio  ","0.02m","0.02m","23rd Feb 18  ","N/A","N/A","0.00m"
"45","Puzzle Guzzle    ","PSP","Agetec  ","0.02m","0.02m","27th Feb 08  ","N/A","N/A","0.00m"
"46","Elf Bowling 1 & 2    ","DS","Ignition Entertainment  ","0.02m","0.02m","01st Dec 05  ","N/A","N/A","0.00m"
"47","MotorHead    ","PS","Fox Interactive  ","0.02m","0.03m","30th Sep 98  ","0.01m","N/A","0.00m"
"48","Frisbee Disc Freestyle / Frisbee Disc Golf    ","DS","DSI Games  ","0.02m","0.02m","06th Mar 07  ","N/A","N/A","0.00m"
"49","My Hero: Doctor    ","DS","Majesco  ","0.02m","0.02m","17th Nov 09  ","N/A","N/A","0.00m"
"50","Muppets Party Cruise    ","GC","TDK Mediactive  ","0.02m","0.02m","11th Nov 03  ","0.00m","N/A","0.00m"
"51","Samurai Shodown V    ","XB","SNK Playmore  ","0.02m","0.02m","18th Jan 06  ","0.00m","N/A","0.00m"
"52","Period Cube ~Shackles of Amadeus~    ","PSV","Aksys Games  ","0.02m","0.05m","28th Apr 17  ","N/A","0.03m","0.01m"
"53","Asterix & Obelix: Kick Buttix    ","PS2","Atari  ","0.02m","0.03m","14th Sep 04  ","0.01m","N/A","0.00m"
"54","Pro Fishing Challenge    ","XB","Atlus  ","0.02m","0.02m","31st Aug 04  ","0.00m","N/A","0.00m"
"55","Tsugunai: Atonement    ","PS2","Atlus  ","0.02m","0.06m","29th Nov 01  ","0.01m","0.02m","0.00m"
"56","Serious Sam: Next Encounter    ","GC","Global Star Software  ","0.02m","0.02m","12th Apr 04  ","0.00m","N/A","0.00m"
